rah,decd,mag,jh,zphot,arxiv,author,ra,dec,jname,zspec,field,jmag,hmag,id_zf,mass,sn,s11,muv,zeazy,mu,beta,ezphot,emuv,ebeta,logm,Muv,F150W,F200W,photz_2.5,photz_16,photz_84,photz_97.5,tform_16,tform_50,tform_84,stellar_mass_16,stellar_mass_50,stellar_mass_84,robust,zphot2,mag444,zerr,mptid,zplo,zphi,zserr,zflag,Te,Te_err,logO2pp,logO2pp_err,logO2p,logO2p_err,logOH,logOH_err,zperr,NIRCam_ID,z_Spec_flag,z_PRISM,z_spec_source,jades_id,Muv_err,beta_err,dv,dv_err,dchi2,pz,zphot_err,xi_Ha,nircam_id,gratings,zspec_err,beta_UV,beta_UV_err,beta_opt,beta_opt_err,m_uv,M_UV,z_ALT,n_lines_detected,zspec.,exptime,muv_err,emlines,id,count,F444W
,,,,9.13,2404.03576,Dale Kocevski,3.444851,-30.32636,j001346.76m301934.90,-1.000,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4448518&dec=-30.326362&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,27.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.43,0.43,2.14,0.46,28.21,-19.13,,,,,,,UNCOVER-15619,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4448518&dec=-30.326362&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.10967,Lorenzo Napolitano,3.451369,-30.32072,j001348.33m301914.58,,,,,,,,,-19.82,,1.23,-2.24,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4513698&dec=-30.320717&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,0.12,,,,,,,,,10.43,13130,0.05,CIII]1909,GHZ7,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4513698&dec=-30.320717&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.10967,Lorenzo Napolitano,3.451428,-30.32180,j001348.34m301918.47,,,,,,,,,-20.32,,1.23,-2.18,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4514288&dec=-30.321798&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,0.039,,,,,,,,,10.231,13130,0.07,[OII]3727+3729,GHZ8,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4514288&dec=-30.321798&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
00:13:49.13,-30:19:00.85,,,9.30,2304.14469,Derek McLeod,3.454708,-30.31690,j001349.13m301900.85,,,,,,,,,,,,,,,,,-19.15,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4547083333333338&dec=-30.316902777777777&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLASS-z9-32411,2,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4547083333333338&dec=-30.316902777777777&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.10967,Lorenzo Napolitano,3.454707,-30.31689,j001349.13m301900.85,,,,,,,,,-19.36,,1.23,-2.72,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4547078&dec=-30.31689&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,0.004,,,,,,,,,9.5231,13130,0.36,[OII]3727+3729; [OIII]4959; [OIII]5007,GLASS-83338,2,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4547078&dec=-30.31689&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
00:13:54.90,-30:20:43.95,,,9.60,2304.14469,Derek McLeod,3.478750,-30.34554,j001354.90m302043.95,,,,,,,,,,,,,,,,,-19.52,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.47874999999999938&dec=-30.345541666666666&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLASS-z10-15864,3,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.47874999999999938&dec=-30.345541666666666&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.18763,Lorenzo Napolitano,3.478761,-30.34552,j001354.90m302043.95,,,,,,,,,-19.271,,1.36,-1.1,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4787618&dec=-30.345516&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,0.01,,,,,,,,,10.145,19701,0.04,NIV]1486; CIV1548+1551; NIII]1747+1749; CIII]1909; [OII]3727+3729; [NeIII]3869; Hd; Hg; [OIII]4363,GHZ9,3,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4787618&dec=-30.345516&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,,2410.10967,Lorenzo Napolitano,3.478761,-30.34552,j001354.90m302043.95,,,,,,,,,-19.271,,1.36,-1.1,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4787618&dec=-30.345516&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,0.01,,,,,,,,,10.145,19701,0.04,NIV]1486; CIV1548+1551; NIII]1747+1749; CIII]1909; [OII]3727+3729; [NeIII]3869; Hd; Hg; [OIII]4363,GHZ9,3,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4787618&dec=-30.345516&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,26.98,,9.12,2207.09436,Marco Castellano,3.479054,-30.31492,j001354.97m301853.73,,,,,,,,,-19.67,9.901,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4790548&dec=-30.314924&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHZ7,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4790548&dec=-30.314924&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,,,5.17,2404.03576,Dale Kocevski,3.486596,-30.32944,j001356.78m301945.98,-1.000,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4865968&dec=-30.329439&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,27.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.97,1.04,0.13,0.18,29.69,-16.77,,,,,,,UNCOVER-1831,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4865968&dec=-30.329439&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
