id,ra,dec,zspec
ZF-COS-20032,150.112560,2.3765266,2.4736
ZF-COS-20115,150.061490,2.3787093,3.7145
ZF-COS-20133,150.121730,2.3745940,3.4806
3D-EGS-18996,214.895630,52.8565560,3.2390
3D-EGS-26047,214.905120,52.8916210,3.2337
3D-EGS-40032,214.760620,52.8453830,3.2187
ZF-UDS-8197,34.293755,-5.2269478,3.5431
3D-UDS-27939,34.487273,-5.1821730,2.2104
ZF-COS-17779,150.046510,2.3673911,3.4150
ZF-COS-18842,150.087280,2.3960431,3.7823
ZF-COS-19589,150.066710,2.3823645,3.7152
3D-EGS-31322,214.866060,52.8843120,3.4344
ZF-COS-10559,150.071470,2.2911844,2.6376
ZF-COS-14907,150.124220,2.3374486,4.1935
3D-EGS-27584,214.853870,52.8613930,2.4620
3D-EGS-34322,214.813160,52.8589860,3.5460
ZF-UDS-3651,34.289452,-5.2698030,3.4214
ZF-UDS-4347,34.290428,-5.2620687,3.4731
ZF-UDS-6496,34.340358,-5.2412550,2.0332
ZF-UDS-7329,34.255872,-5.2338210,3.1857
ZF-UDS-7542,34.258888,-5.2322803,3.1885
3D-UDS-35168,34.485131,-5.1578340,4.2240
3D-UDS-39102,34.526210,-5.1438100,3.3982
3D-UDS-41232,34.526589,-5.1360390,2.9810
