id,ra,dec,zspec,zconf
a2744-2273,3.58445,-30.41488,0.628,3
a2744-2407,3.58226,-30.41374,4.0208,2
a2744-3178,3.5813,-30.41457,0.0,3
a2744-2684,3.58306,-30.41189,6.5195,1
a2744-2874,3.58024,-30.41135,4.7283,3
a2744-2878,3.58123,-30.41158,1.0972,3
a2744-3040,3.58136,-30.41107,1.3359,3
a2744-3051,3.58131,-30.41073,3.7093,3
a2744-3328,3.56959,-30.41216,0.2993,3
a2744-2,3.57805,-30.41316,6.0938,1
a2744-2709,3.57696,-30.41344,1.366,3
a2744-2615,3.57552,-30.4132,1.3233,2
a2744-2674,3.57435,-30.41253,4.7283,3
a2744-2796,3.57503,-30.41219,1.3662,3
a2744-2907,3.57458,-30.41228,1.3673,3
a2744-3019,3.57532,-30.41277,1.3681,3
a2744-647,3.57545,-30.41108,3.726514,2
a2744-2787,3.57583,-30.41236,1.365753,2
a2744-2810,3.57539,-30.41191,0.6063,3
a2744-3258,3.57587,-30.41042,0.446,3
a2744-3429,3.57615,-30.41108,0.0,3
a2744-2956,3.5783,-30.41133,3.8123,2
a2744-3065,3.57773,-30.41145,3.2031,3
a2744-3517,3.5789,-30.41001,1.2689,3
a2744-4423,3.57967,-30.40919,0.303,3
a2744-3275,3.57773,-30.40978,4.402405,3
a2744-3402,3.5767,-30.41019,1.648,3
a2744-2982,3.57435,-30.41137,1.3677,3
a2744-850,3.57514,-30.40969,3.879,2
a2744-3210,3.57165,-30.41001,3.966,2
a2744-3361,3.57078,-30.41021,2.7416,2
a2744-3602,3.57103,-30.4096,0.6512,1
a2744-3677,3.57271,-30.40958,-0.000367,3
a2744-3492,3.57445,-30.4089,4.8938,2
a2744-4538,3.5734,-30.40746,0.3146,3
a2744-5061,3.57394,-30.40883,0.3137,3
a2744-3911,3.57755,-30.40819,0.3073,3
a2744-3837,3.57406,-30.40769,4.392,3
a2744-4010,3.57519,-30.40735,2.9986,2
a2744-4888,3.57571,-30.40538,0.653,3
a2744-2785,3.56763,-30.41187,6.2737,1
a2744-2951,3.56823,-30.41097,3.7077,3
a2744-3000,3.56838,-30.41092,3.3161,3
a2744-3423,3.56929,-30.40963,3.581,3
a2744-1783,3.56771,-30.40935,4.0589,1
a2744-3306,3.56812,-30.40971,5.5406,2
a2744-3753,3.56716,-30.40875,0.3172,2
a2744-3759,3.56686,-30.40803,3.3576,2
a2744-3986,3.56777,-30.40731,3.9833,3
a2744-3472,3.5697,-30.40906,5.7648,2
a2744-3672,3.56934,-30.40873,4.0423,3
a2744-4319,3.56904,-30.40695,1.4591,3
a2744-4213,3.57043,-30.40654,5.1933,3
a2744-4812,3.57326,-30.40489,0.2469,2
a2744-5514,3.57478,-30.40367,0.304781,3
a2744-4903,3.57214,-30.40505,0.3011,3
a2744-5624,3.57325,-30.40298,3.7794,3
a2744-4321,3.56756,-30.40625,4.6315,3
a2744-4378,3.56756,-30.40607,4.045,3
a2744-5060,3.56804,-30.40633,1.1139,3
a2744-4946,3.56833,-30.40458,5.0193,2
a2744-5380,3.56916,-30.4047,0.9426,2
a2744-7256,3.56965,-30.40507,0.0,3
a2744-1369,3.57304,-30.40172,3.0337,1
a2744-5838,3.56864,-30.40253,2.58243,2
a2744-5922,3.57014,-30.40184,3.5931,2
a2744-6505,3.57138,-30.40013,4.6892,3
a2744-6832,3.57101,-30.39984,1.1058,3
a2744-6510,3.56821,-30.40036,4.023325,3
a2744-6876,3.56855,-30.39926,3.19,2
a2744-7635,3.5683,-30.3975,0.9511,2
a2744-2088,3.60345,-30.41676,0.318573,3
a2744-2284,3.60265,-30.41696,0.3135,3
a2744-2077,3.60202,-30.41574,4.78263,3
a2744-2104,3.60318,-30.41571,3.9538,3
a2744-2547,3.60136,-30.41536,0.3201,3
a2744-2288,3.59896,-30.41588,0.2544,3
a2744-2406,3.60162,-30.41421,0.2386,3
a2744-2504,3.59977,-30.41395,1.7663,3
a2744-2526,3.60016,-30.41361,1.1742,3
a2744-2532,3.60021,-30.41376,1.7663,3
a2744-1738,3.60159,-30.4127,4.7026,2
a2744-1903,3.59586,-30.4165,4.0527,2
a2744-2115,3.5938,-30.41545,6.5876,2
a2744-2589,3.59526,-30.41397,0.7443,3
a2744-966,3.59199,-30.41404,4.754,2
a2744-2680,3.5921,-30.41311,0.307,2
a2744-3020,3.59088,-30.41187,1.0912,3
a2744-2264,3.59882,-30.4146,4.7786,2
a2744-2599,3.59626,-30.41321,0.6073,3
a2744-2736,3.60054,-30.4122,4.0207,3
a2744-3415,3.60266,-30.40989,1.1043,3
a2744-2775,3.59574,-30.41208,0.4295,3
a2744-3503,3.59747,-30.40996,0.30632,3
a2744-3541,3.59656,-30.40901,5.283,3
a2744-3016,3.59345,-30.41084,3.785,2
a2744-3047,3.59382,-30.41077,3.782801,2
a2744-3424,3.59392,-30.40972,3.0537,3
a2744-3803,3.59374,-30.40922,0.3041,3
a2744-3468,3.59552,-30.40969,0.322,2
a2744-3870,3.59512,-30.40937,0.3201,3
a2744-4204,3.59855,-30.40888,1.309,2
a2744-4375,3.59852,-30.40842,0.1232,3
a2744-4365,3.59971,-30.40658,1.0961,3
a2744-4400,3.59594,-30.40686,1.688,2
a2744-5134,3.59817,-30.40483,0.3009,2
a2744-2661,3.58753,-30.41274,1.2684,3
a2744-2671,3.58888,-30.41334,0.3052,3
a2744-2768,3.58571,-30.41397,0.3027,3
a2744-2821,3.58792,-30.41161,5.283,3
a2744-2885,3.58704,-30.41242,0.8503,3
a2744-2962,3.58706,-30.41126,1.2843,3
a2744-365,3.59035,-30.4106,3.0537,3
a2744-2754,3.58923,-30.41182,3.2075,2
a2744-3410,3.58973,-30.41023,0.316304,3
a2744-3540,3.58882,-30.41072,0.3226,3
a2744-3910,3.58913,-30.40957,0.3178,3
a2744-3455,3.58623,-30.41001,1.688,2
a2744-3479,3.58326,-30.40909,0.9906,2
a2744-3699,3.58251,-30.40999,0.3192,3
a2744-3634,3.58345,-30.4085,4.9113,2
a2744-3671,3.58383,-30.4095,0.303249,3
a2744-3488,3.58733,-30.40909,1.043,1
a2744-3558,3.58643,-30.40936,2.016,3
a2744-3933,3.58594,-30.40844,0.3083,3
a2744-4433,3.58852,-30.40632,0.3179,2
a2744-4272,3.58738,-30.40648,2.6565,3
a2744-5693,3.58704,-30.40495,0.2986,3
a2744-3816,3.59352,-30.40775,4.9113,1
a2744-3880,3.59406,-30.408,2.016,3
a2744-4274,3.59424,-30.40639,3.6915,3
a2744-4439,3.59028,-30.4074,0.3185,3
a2744-4556,3.59172,-30.40781,0.3195,3
a2744-4580,3.59124,-30.40628,0.3185,3
a2744-562,3.59241,-30.40519,3.6915,3
a2744-740,3.59276,-30.40702,5.6616,3
a2744-4828,3.59275,-30.40613,0.3187,1
a2744-6034,3.59203,-30.40573,0.3187,3
a2744-4604,3.59513,-30.4059,1.043,3
a2744-4705,3.59468,-30.4059,0.308415,3
a2744-5339,3.59591,-30.40621,0.3163,3
a2744-5081,3.5959,-30.40448,1.043,3
a2744-5291,3.59591,-30.40413,0.0,3
a2744-5133,3.59349,-30.40504,3.5769,3
a2744-5005,3.59514,-30.40448,2.951,3
a2744-5393,3.59552,-30.40347,2.951,3
a2744-5978,3.59645,-30.40328,0.3006,2
a2744-4960,3.59059,-30.40446,4.9113,1
a2744-6210,3.5925,-30.40461,0.3152,3
a2744-4510,3.5884,-30.40588,2.6565,3
a2744-5340,3.58852,-30.40421,0.3201,2
a2744-5576,3.58797,-30.40425,0.2999,3
a2744-1451,3.58913,-30.40342,5.6616,3
a2744-5428,3.59096,-30.40326,3.6915,3
a2744-5436,3.58943,-30.40422,0.3181,2
a2744-5949,3.59211,-30.40263,3.5769,3
a2744-6298,3.59483,-30.40213,0.3166,3
a2744-7445,3.59083,-30.40252,0.0,3
a2744-3853,3.60413,-30.4077,3.543144,3
a2744-4198,3.60176,-30.40786,1.097,3
a2744-4247,3.60289,-30.40685,1.1053,3
a2744-4893,3.60489,-30.40454,0.297952,3
a2744-4933,3.60457,-30.40479,3.24458,3
a2744-5174,3.60468,-30.40435,0.2978,3
a2744-6220,3.60528,-30.40293,0.3163,3
a2744-4926,3.6019,-30.40501,4.3361,3
a2744-5190,3.60125,-30.40488,0.305516,2
a2744-4985,3.60071,-30.4046,3.785,3
a2744-5088,3.60006,-30.40439,5.283,3
a2744-5460,3.5987,-30.40485,1.1043,3
a2744-5353,3.60107,-30.40399,6.3271,3
a2744-5625,3.60092,-30.40294,3.7077,3
a2744-5710,3.60008,-30.40292,3.0537,3
a2744-5136,3.60365,-30.40431,0.2986,3
a2744-5574,3.60331,-30.40313,4.3342,3
a2744-6283,3.60258,-30.40106,0.2678,2
a2744-7,3.60381,-30.4008,3.2034,1
a2744-6245,3.60332,-30.40155,0.252722,3
a2744-6844,3.60333,-30.39964,0.6344,3
a2744-7344,3.60435,-30.40013,0.3192,3
a2744-7068,3.60527,-30.40081,0.3199,3
a2744-7199,3.60383,-30.39912,0.3026,3
a2744-7584,3.60561,-30.39746,0.6826,3
a2744-5566,3.59755,-30.40394,1.688,2
a2744-6098,3.59853,-30.40179,2.016,3
a2744-6270,3.59564,-30.4016,3.575358,3
a2744-6371,3.59688,-30.40098,0.9435,3
a2744-6374,3.59731,-30.40061,3.689835,3
a2744-6849,3.59676,-30.40051,0.3169,3
a2744-6364,3.60007,-30.40114,0.9448,3
a2744-7367,3.60186,-30.39866,0.3151,3
a2744-6714,3.59916,-30.39959,4.9113,1
a2744-7883,3.60128,-30.39705,0.9452,3
a2744-6872,3.59575,-30.39997,0.3163,2
a2744-7229,3.59446,-30.40035,0.3038,3
a2744-7280,3.59603,-30.39899,0.9462,3
a2744-6814,3.59341,-30.40004,0.3043,3
a2744-6887,3.59446,-30.39932,0.6341,3
a2744-7947,3.593,-30.39933,0.3093,3
a2744-943,3.59881,-30.39828,5.6616,3
a2744-9072,3.59896,-30.39752,0.3164,3
a2744-7737,3.60048,-30.39665,3.6893,2
a2744-8215,3.59943,-30.39557,0.4994,3
a2744-8235,3.60019,-30.39617,0.946811,3
a2744-7718,3.59728,-30.39672,1.8876,1
a2744-8267,3.5973,-30.39605,0.319,3
a2744-7692,3.60419,-30.39719,2.07,2
a2744-7825,3.6027,-30.39758,0.2993,3
a2744-7747,3.60544,-30.3966,5.7709,3
a2744-7903,3.60543,-30.39701,0.2384,3
a2744-8143,3.6022,-30.39699,0.303978,3
a2744-8343,3.60162,-30.39579,0.9438,3
a2744-8164,3.60391,-30.39613,0.302438,3
a2744-8357,3.60471,-30.39506,3.944229,1
a2744-8116,3.60625,-30.39558,5.7751,1
a2744-8204,3.60712,-30.39564,2.9955,3
a2744-8885,3.60666,-30.39328,5.1879,2
a2744-9609,3.60518,-30.39261,0.322,2
a2744-9634,3.60624,-30.39164,2.9822,2
a2744-9910,3.60615,-30.39197,1.3397,3
a2744-3,3.60042,-30.39511,5.7255,1
a2744-9283,3.60083,-30.3949,0.3065,3
a2744-9049,3.60201,-30.39318,1.1034,2
a2744-9089,3.6022,-30.39282,4.3748,3
a2744-8971,3.60009,-30.39376,1.344205,3
a2744-9010,3.59994,-30.39354,1.3437,3
a2744-9327,3.60169,-30.39288,1.104,3
a2744-9272,3.60465,-30.39223,3.4758,3
a2744-9672,3.6025,-30.39087,3.649,3
a2744-9663,3.60684,-30.39118,0.6018,3
a2744-10382,3.60743,-30.38849,3.473123,3
a2744-10482,3.60785,-30.38847,1.0452,3
a2744-10481,3.60397,-30.38872,0.6715,3
a2744-10548,3.60413,-30.38787,2.8529,3
a2744-10676,3.60522,-30.38744,0.6714,3
a2744-11930,3.60808,-30.38706,0.29738,3
a2744-11952,3.60834,-30.38673,1.0464,3
a2744-12148,3.6084,-30.38766,0.0,3
a2744-11626,3.60687,-30.38557,2.9422,2
a2744-2906,3.58198,-30.40834,3.0234,1
a2744-3606,3.58158,-30.40863,3.689685,3
a2744-3715,3.58121,-30.40837,0.4744,3
a2744-3885,3.58039,-30.40888,3.5769,3
a2744-495,3.58226,-30.40717,5.6616,3
a2744-1,3.58015,-30.4079,6.5565,1
a2744-3934,3.58073,-30.40777,0.6172,3
a2744-5084,3.58372,-30.4041,4.757353,3
a2744-5408,3.5844,-30.4034,5.7255,3
a2744-5474,3.58472,-30.40315,5.7255,3
a2744-5703,3.58328,-30.40335,1.8876,1
a2744-5908,3.58504,-30.40331,0.3039,3
a2744-6043,3.58437,-30.40289,0.3161,3
a2744-1609,3.58026,-30.40582,5.5601,1
