id,ra,dec,zspec,q_zsp
VANDELS_CDFS_102255,53.250020,-27.965440,1.0869,4
VANDELS_CDFS_203517,53.259570,-27.958510,3.0831,4
VANDELS_CDFS_203493,53.294720,-27.958470,3.14,1
VANDELS_CDFS_204014,53.291760,-27.955230,4.4022,4
VANDELS_CDFS_204039,53.274700,-27.954650,4.406,2
VANDELS_CDFS_206053,53.289190,-27.939280,3.184,1
VANDELS_CDFS_205124,53.279060,-27.946090,3.186,4
VANDELS_CDFS_105200,53.280360,-27.937210,1.0887,4
VANDELS_CDFS_206026,53.295670,-27.939810,3.5812,3
VANDELS_CDFS_105328,53.294040,-27.938220,2.7047,2
VANDELS_CDFS_207223,53.286620,-27.930600,4.4059,3
VANDELS_CDFS_201924,53.193300,-27.972280,3.38,1
VANDELS_CDFS_202046,53.183490,-27.970800,4.762,9
VANDELS_CDFS_101861,53.178270,-27.969770,3.234,4
VANDELS_CDFS_202888,53.173370,-27.962080,2.5676,1
VANDELS_CDFS_202242,53.232680,-27.968830,3.5415,3
VANDELS_CDFS_202084,53.205900,-27.970240,2.5546,1
VANDELS_CDFS_102333,53.208380,-27.965900,4.1694,4
VANDELS_CDFS_101998,53.216200,-27.968470,3.1878,4
VANDELS_CDFS_202514,53.223840,-27.966600,3.3481,3
VANDELS_CDFS_202907,53.219310,-27.963230,3.7265,1
VANDELS_CDFS_202937,53.218950,-27.963160,3.735,214
VANDELS_CDFS_203861,53.215550,-27.956410,4.7502,3
VANDELS_CDFS_101996,53.243930,-27.968670,2.7398,3
VANDELS_CDFS_102634,53.247820,-27.962190,2.697,4
VANDELS_CDFS_203169,53.241390,-27.960920,4.6918,4
VANDELS_CDFS_203612,53.255040,-27.958080,3.2398,3
VANDELS_CDFS_103010,53.229140,-27.959070,3.455,4
VANDELS_CDFS_205427,53.235580,-27.943960,3.843,3
VANDELS_CDFS_201884,53.196710,-27.972470,3.38,1
VANDELS_CDFS_102002,53.198020,-27.968790,3.0833,4
VANDELS_CDFS_202890,53.197240,-27.963580,5.0635,9
VANDELS_CDFS_203531,53.200200,-27.958740,3.374,3
VANDELS_CDFS_104332,53.208330,-27.945500,1.3822,4
VANDELS_CDFS_104462,53.204760,-27.943980,1.3713,4
VANDELS_CDFS_103545,53.217610,-27.951820,1.2219,4
VANDELS_CDFS_205173,53.223270,-27.945800,4.4913,3
VANDELS_CDFS_206035,53.211840,-27.939860,3.0578,3
VANDELS_CDFS_206091,53.212930,-27.939210,3.3446,2
VANDELS_CDFS_207213,53.221080,-27.931030,3.3834,4
VANDELS_CDFS_207556,53.227890,-27.928420,3.3048,3
VANDELS_CDFS_106745,53.226290,-27.926170,3.462,4
VANDELS_CDFS_105576,53.205800,-27.935260,2.3375,4
VANDELS_CDFS_206826,53.209170,-27.934010,4.1536,1
VANDELS_CDFS_206968,53.204170,-27.932370,3.3808,3
VANDELS_CDFS_208098,53.217980,-27.923960,2.475,4
VANDELS_CDFS_107428,53.221490,-27.919710,3.4604,4
VANDELS_CDFS_202715,53.123850,-27.965240,3.7155,3
VANDELS_CDFS_101595,53.153720,-27.971990,2.8014,4
VANDELS_CDFS_202124,53.153620,-27.970400,3.7099,1
VANDELS_CDFS_000031,53.103830,-27.954020,2.612,4
VANDELS_CDFS_000298,53.137900,-27.937760,,-10
VANDELS_CDFS_000299,53.138970,-27.937590,3.144,21
VANDELS_CDFS_106079,53.151110,-27.931590,2.63,4
VANDELS_CDFS_027049,53.133170,-27.926560,3.2459,9
VANDELS_CDFS_000814,53.138990,-27.922470,3.1704,4
VANDELS_CDFS_103418,53.172020,-27.946560,1.034,4
VANDELS_CDFS_104129,53.174250,-27.945110,1.0333,4
VANDELS_CDFS_026960,53.174960,-27.934200,4.5602,4
VANDELS_CDFS_105315,53.183260,-27.938370,3.288,4
VANDELS_CDFS_206714,53.191930,-27.934870,3.4548,3
VANDELS_CDFS_206927,53.190750,-27.933330,3.1678,2
VANDELS_CDFS_105886,53.167610,-27.933700,2.5339,4
VANDELS_CDFS_000452,53.171170,-27.932930,,0
VANDELS_CDFS_000550,53.171310,-27.930150,3.224,2
VANDELS_CDFS_027000,53.169910,-27.929990,3.686,1
VANDELS_CDFS_208053,53.200230,-27.923710,3.0854,4
VANDELS_CDFS_208739,53.194920,-27.919310,4.1534,3
VANDELS_CDFS_001506,53.211230,-27.908300,1.6126,3
VANDELS_CDFS_001280,53.202500,-27.911260,3.0771,3
VANDELS_CDFS_001455,53.188610,-27.908060,2.6768,1
VANDELS_CDFS_002107,53.192310,-27.896800,3.3,2
VANDELS_CDFS_002440,53.194640,-27.891930,3.0909,4
VANDELS_CDFS_000600,53.148880,-27.928380,3.2616,1
VANDELS_CDFS_000750,53.155010,-27.924550,2.5395,4
VANDELS_CDFS_000777,53.157250,-27.923480,2.535,2
VANDELS_CDFS_001887,53.164180,-27.903270,1.2928,4
VANDELS_CDFS_001986,53.159460,-27.898930,3.045,4
VANDELS_CDFS_002259,53.153750,-27.894440,3.8021,23
VANDELS_CDFS_001765,53.180110,-27.902000,3.77,3
VANDELS_CDFS_001883,53.169780,-27.900790,2.6662,4
VANDELS_CDFS_002110,53.177120,-27.896930,3.3914,2
VANDELS_CDFS_002277,53.182160,-27.894240,3.915,1
VANDELS_CDFS_027614,53.184290,-27.891620,3.36,3
VANDELS_CDFS_003360,53.184640,-27.880920,3.475,14
VANDELS_CDFS_002296,53.158960,-27.894430,2.8015,4
VANDELS_CDFS_002646,53.170750,-27.889140,4.2417,4
VANDELS_CDFS_002728,53.171690,-27.888150,3.0174,1
VANDELS_CDFS_002619,53.163540,-27.890480,3.21,1
VANDELS_CDFS_002833,53.176450,-27.886830,3.0458,3
VANDELS_CDFS_003011,53.171030,-27.884730,3.1244,2
VANDELS_CDFS_003496,53.178120,-27.879340,3.0253,3
VANDELS_CDFS_003738,53.173600,-27.876840,3.0282,2
VANDELS_CDFS_104273,53.256460,-27.946790,1.5773,3
VANDELS_CDFS_206500,53.276850,-27.936130,3.584,2
VANDELS_CDFS_105360,53.270200,-27.938440,3.4598,4
VANDELS_CDFS_206197,53.269730,-27.938670,3.577,3
VANDELS_CDFS_207176,53.275610,-27.930320,3.31,2
VANDELS_CDFS_206629,53.267040,-27.935240,4.4922,3
VANDELS_CDFS_206721,53.269810,-27.934470,3.2375,3
VANDELS_CDFS_106483,53.274680,-27.929050,,0
VANDELS_CDFS_208015,53.272260,-27.924180,3.3039,4
VANDELS_CDFS_105702,53.254370,-27.932840,3.0809,4
VANDELS_CDFS_207780,53.252930,-27.926430,3.0783,3
VANDELS_CDFS_106812,53.250190,-27.925450,2.531,4
VANDELS_CDFS_208175,53.266340,-27.923410,3.462,4
VANDELS_CDFS_208287,53.268730,-27.922570,3.29,1
VANDELS_CDFS_208487,53.285500,-27.921210,3.5368,3
VANDELS_CDFS_208447,53.281010,-27.921200,4.4031,22
VANDELS_CDFS_211122,53.276430,-27.901700,3.1284,2
VANDELS_CDFS_208588,53.236180,-27.920660,4.491,9
VANDELS_CDFS_208623,53.231280,-27.919450,2.428,4
VANDELS_CDFS_209992,53.252060,-27.909850,3.251,3
VANDELS_CDFS_001411,53.247710,-27.908370,,-10
VANDELS_CDFS_001760,53.251980,-27.901980,3.5934,3
VANDELS_CDFS_027379,53.251860,-27.903060,3.5874,4
VANDELS_CDFS_208860,53.229860,-27.918370,3.3459,3
VANDELS_CDFS_001385,53.237330,-27.908920,3.1725,2
VANDELS_CDFS_108676,53.236320,-27.909650,2.9697,4
VANDELS_CDFS_001454,53.239950,-27.907580,3.1802,21
VANDELS_CDFS_001463,53.239130,-27.907320,3.0812,4
VANDELS_CDFS_001729,53.240790,-27.902740,,0
VANDELS_CDFS_001630,53.234710,-27.904260,2.6335,2
VANDELS_CDFS_002105,53.239050,-27.896820,3.8222,4
VANDELS_CDFS_210603,53.257920,-27.905410,4.7499,4
VANDELS_CDFS_210577,53.267260,-27.905620,3.666,2
VANDELS_CDFS_110194,53.255980,-27.896550,3.617,1
VANDELS_CDFS_212004,53.277640,-27.893960,,0
VANDELS_CDFS_002312,53.250640,-27.893880,3.466,4
VANDELS_CDFS_002679,53.257700,-27.888870,2.9679,4
VANDELS_CDFS_002669,53.245850,-27.888940,3.0789,2
VANDELS_CDFS_002916,53.265070,-27.885960,4.3866,4
VANDELS_CDFS_003419,53.255970,-27.879910,3.469,4
VANDELS_CDFS_003845,53.259910,-27.875640,3.4579,3
VANDELS_CDFS_111156,53.287270,-27.888600,3.0767,4
VANDELS_CDFS_112528,53.279040,-27.876850,2.5217,4
VANDELS_CDFS_113693,53.290030,-27.868010,2.6402,4
VANDELS_CDFS_215689,53.281180,-27.867980,3.45,1
VANDELS_CDFS_215747,53.280900,-27.868170,3.467,23
VANDELS_CDFS_113689,53.278300,-27.867690,2.5749,4
VANDELS_CDFS_215732,53.283490,-27.867940,4.7792,4
VANDELS_CDFS_216932,53.284590,-27.857710,3.656,1
VANDELS_CDFS_217560,53.279970,-27.853810,3.4535,4
VANDELS_CDFS_217687,53.289070,-27.852700,3.3802,3
