field, id, ra, dec, jmag, hmag, zphot
0314m6712, 383  , 48.4497 , -67.2097, 24.06, 24.09,   7.75
0409m5317, 313  , 62.3371 , -53.2590, 26.26, 26.47,   8.02
0440m5244, 742  , 69.9457 , -52.7320, 25.80, 25.72,   7.84
0830p6555, 244  , 127.5521,  65.9035, 25.60, 25.32,   7.75
0853p0310, 112  , 133.1855,   3.1467, 24.97, 25.07,   7.66
0925p1360, 899  , 141.2877,  13.9991, 25.69, 25.71,   7.58
0948p5757, 697  , 147.0725,  57.9549, 25.84, 25.63,   7.66
0955p4528, 914  , 148.8281,  45.4895, 26.12, 25.85,   8.20
0956p2848, 986  , 149.0963,  28.8095, 26.80, 26.44,   8.11
1017m2052, 310  , 154.3421, -20.8697, 26.00, 25.73,   8.11
1033p5051, 164  , 158.1865,  50.8416, 25.91, 26.03,   7.93
1104p2813, 447  , 165.9720,  28.2297, 25.61, 25.48,   7.58
1218p3008, 638  , 184.5579,  30.1255, 25.92, 25.78,   7.58
1437p5043, 1241 , 219.2105,  50.7260, 25.80, 25.65,   7.84
1515m1517, 698  , 228.7442, -15.2704, 25.87, 25.97,   7.66
1558p0812, 601  , 239.5695,   8.2083, 25.10, 25.00,   7.66
1917m3335, 929  , 289.3521, -33.5924, 26.11, 25.93,   8.11
2203p1851, 1071 , 330.6929,  18.8581, 25.63, 25.52,   7.84
0728p0509, 232  , 111.9093,   5.1312, 25.25, 24.98,   8.20
0104p0021, 339  ,  15.8784,   0.3370, 25.34, 25.59,   7.66
1149p2202, 169  , 177.1723,  22.0172, 25.54, 25.84,   7.66
1149p2202, 343  , 177.1584,  22.0221, 25.59, 25.00,   8.38
2134m0708, 2928 , 323.5509,  -7.1224, 25.80, 25.88,   7.58
0859p4114, 138  , 134.8251,  41.2237, 25.34, 25.30,   7.75
0859p4114, 718  , 134.8402,  41.2377, 25.27, 25.05,   7.75
1115p2548, 455  , 168.6620,  25.8007, 28.39, 26.61,   8.38
1607p1332, 996  , 241.7016,  13.5468, 26.15, 25.38,   8.76
0037m3337, 563  ,   9.3000, -33.6243, 26.39, 25.96,   8.76
1420p3743, 1025 , 215.0595,  37.7356, 27.15, 26.00,   8.76
1459p7146, 344  , 224.7238,  71.7814, 27.84, 25.91,  10.00
1142p3020, 67   , 175.6406,  30.3028, 26.33, 24.81,   9.79
