id,ra,dec,zspec,Conf
206012087,150.16579,2.19709,3.2825,3
203003080,150.12392,2.1947,2.9733,2
203017130,150.11708,2.19354,3.6569,1
203062231,150.11913,2.19918,5.8436,1
204053120,150.13827,2.194,4.8457,1
205020034,150.15494,2.20117,3.9114,1
204019061,150.144,2.20494,4.1799,1
205005016,150.1496,2.20333,3.531,1
203044209,150.12718,2.19381,4.5625,3
203041174,150.12948,2.19577,4.3118,2
203022142,150.12362,2.19923,3.9419,2
203052220,150.12296,2.20333,4.97,2
212008018,150.14686,2.21231,3.4638,3
211025225,150.14445,2.21074,4.1094,2
211058292,150.13549,2.21216,5.424,2
211026226,150.1321,2.21046,4.1681,2
211055289,150.13919,2.2108,5.3006,3
211059293,150.13935,2.21472,5.5093,3
211037250,150.13712,2.21628,4.5739,1
211017204,150.14104,2.21791,3.9121,3
201002048,150.09361,2.19708,3.0418,3
201073224,150.09482,2.19831,6.5328,2
201004081,150.09736,2.19893,3.0806,3
201034163,150.0945,2.19889,4.4181,1
202017036,150.10434,2.19439,3.7733,2
202053094,150.1108,2.1968,4.9118,2
202042082,150.10458,2.19603,4.3165,2
202010025,150.11399,2.20157,3.4479,2
202021046,150.10881,2.20113,3.9531,2
202016035,150.11151,2.20139,3.718,1
202044085,150.11113,2.20157,4.5298,2
202020045,150.10213,2.1982,3.9525,2
202014031,150.10628,2.20287,3.6451,2
202005011,150.10638,2.20597,3.1498,1
202004010,150.10835,2.20771,3.0998,2
202013030,150.10502,2.20703,3.6125,2
209049226,150.10688,2.20993,5.1976,2
201036166,150.08641,2.19802,4.4555,1
201024148,150.08899,2.20279,4.0713,2
201055197,150.08982,2.20311,5.1305,2
201019142,150.08271,2.20595,3.8225,1
201014132,150.09271,2.20791,3.5345,3
201018141,150.09564,2.2079,3.7165,3
202008022,150.10223,2.20849,3.2328,2
209052229,150.10276,2.20875,5.3759,1
209005107,150.10515,2.21017,3.1049,2
209013149,150.10379,2.21044,3.2442,2
208021281,150.09676,2.21023,3.4349,2
208026292,150.09749,2.21073,3.7888,3
209023164,150.10103,2.21394,3.8323,3
208078383,150.09058,2.2085,5.8142,1
208030302,150.09028,2.20898,4.0732,3
208007150,150.08721,2.20898,3.02,1
208011254,150.08902,2.21185,3.1814,2
208031303,150.09118,2.21243,4.0736,2
208014258,150.08979,2.21406,3.2949,1
208018270,150.09378,2.21205,3.393,3
208019271,150.09438,2.21576,3.4019,1
203007099,150.11562,2.20631,3.1273,1
202003009,150.11301,2.20555,3.0951,1
210017253,150.12497,2.20996,3.6283,2
