id, rah, decd, zphot, ezphot, muv, emuv, beta, ebeta, logm
SMACS_z10a, 7:23:26.252, -73:26:56.940,  9.92, 0.09, -20.11, 0.24, -2.07, 0.05, 8.94
SMACS_z10b, 7:23:22.709, -73:26:06.183,  9.79, 0.20, -21.19, 0.22, -1.21, 0.07, 9.90
SMACS_z10c, 7:23:20.169, -73:26:04.233,  9.94, 0.10, -20.55, 0.23, -1.99, 0.04, 9.58
SMACS_z10d, 7:22:46.696, -73:28:40.898,  9.98, 7.97, -19.44, 0.30, -2.10, 0.12, 7.85
SMACS_z10e, 7:22:45.304, -73:29:30.557, 10.44, 8.34, -18.62, 0.33, -1.84, 0.15, 7.23
SMACS_z10f, 7:22:57.303, -73:29:16.522, 10.47, 0.47, -19.17, 0.33, -2.21, 0.37, 7.86
SMACS_z11a, 7:22:39.505, -73:29:40.224, 10.75, 0.28, -19.09, 0.30, -1.98, 0.37, 8.70
SMACS_z11b, 7:22:53.848, -73:28:23.348, 11.22, 0.56, -22.40, 0.33, -1.88, 0.22, 9.20
SMACS_z11c, 7:23:01.604, -73:26:54.908, 11.22, 0.32, -19.56, 0.28, -2.13, 0.16, 7.76
SMACS_z11d, 7:22:36.753, -73:28:09.203, 11.28, 3.89, -21.79, 0.41, -1.87, 0.01, 9.02
SMACS_z11e, 7:22:49.279, -73:27:44.621, 11.52, 9.76, -19.23, 0.33, -1.90, 0.32, 7.87
SMACS_z12a, 7:22:47.380, -73:30:01.785, 12.03, 0.28, -20.07, 0.28, -2.60, 0.32, 8.18
SMACS_z12b, 7:22:52.261, -73:27:55.497, 12.35, 0.68, -21.10, 0.40, -2.71, 0.58, 9.37
SMACS_z16a, 7:23:26.393, -73:28:04.561, 15.97, 0.37, -21.23, 0.27, -3.01, 0.17, 8.36
SMACS_z16b, 7:22:39.439, -73:30:08.185, 15.70, 0.70, -21.75, 0.39, -2.09, 0.55, 8.78
