id,ra,dec,F150W,F200W,photz_2.5,photz_16,zphot,photz_84,photz_97.5,tform_16,tform_50,tform_84,stellar_mass_16,stellar_mass_50,stellar_mass_84,robust
17318,214.808167,52.832185,27.12,25.75,4.31,4.42,4.51,4.6,4.72,0.59,0.77,1.0,10.11,10.16,10.21,false
28251,214.870686,52.846118,26.69,25.23,3.59,4.0,4.15,4.26,4.35,0.78,1.03,1.17,10.15,10.19,10.24,false
28316,214.871229,52.845079,23.66,22.48,3.44,3.6,3.7,3.79,3.86,0.99,1.28,1.45,10.76,10.81,10.86,false
29497,214.760652,52.845329,23.35,22.03,3.09,3.15,3.22,3.31,3.42,0.99,1.29,1.5,11.13,11.17,11.2,true
36262,214.895611,52.856508,22.95,21.84,3.16,3.2,3.26,3.32,3.39,1.24,1.38,1.49,10.94,10.96,10.99,true
40015,214.853948,52.86132,25.35,23.46,3.76,3.92,4.07,4.19,4.3,0.78,0.95,1.09,11.25,11.3,11.35,true
42128,214.850622,52.865992,25.68,24.27,4.32,4.39,4.46,4.54,4.63,0.43,0.63,0.84,10.82,10.85,10.88,true
46629,214.836901,52.873427,24.62,23.47,3.19,3.28,3.44,3.64,3.79,0.74,0.92,1.13,10.54,10.57,10.61,false
52124,214.866029,52.884101,24.8,23.39,3.64,3.75,3.85,3.94,4.04,1.34,1.41,1.46,10.7,10.76,10.81,false
52175,214.866041,52.884267,23.92,22.43,3.28,3.35,3.43,3.52,3.62,1.13,1.28,1.4,10.83,10.86,10.88,true
53472,214.879089,52.888077,25.45,24.13,3.25,3.35,3.47,3.66,3.82,0.91,1.19,1.49,10.27,10.33,10.38,false
75768,214.904836,52.935364,24.45,23.34,3.1,3.16,3.22,3.28,3.35,0.95,1.17,1.44,10.43,10.45,10.48,true
76507,214.931411,52.937443,26.25,25.58,4.6,4.68,4.78,4.91,5.22,0.99,1.03,1.06,9.74,9.79,9.82,false
78374,214.899208,52.942307,24.82,24.07,3.24,3.63,3.76,3.86,3.95,1.43,1.48,1.56,9.81,9.85,9.89,false
92564,214.957908,52.980303,25.01,23.5,3.39,3.46,3.56,3.67,3.76,1.22,1.35,1.44,10.42,10.46,10.49,true
97581,214.981853,52.991229,24.12,22.77,3.17,3.23,3.34,3.46,3.52,0.75,1.06,1.41,10.73,10.76,10.79,true
101962,215.039116,53.002747,26.24,24.92,4.5,4.58,4.68,4.79,4.9,0.39,0.53,0.7,10.51,10.53,10.56,true
