id, rah, decd, mag, zphot
GL-z9-1   , 00:14:02.85,    -30:22:18.6, 26.6, 10.49
GL-z9-2   , 00:14:03.28,    -30:21:05.6, 28.3, 10.46
GL-z9-3   , 00:14:00.09,    -30:19:06.9, 28.4,  8.93
GL-z9-4   , 00:14:00.27,    -30:21:25.9, 28.5, 10.19
GL-z9-5   , 00:14:03.10,    -30:22:26.3, 28.7,  8.69
GL-z9-6   , 00:14:04.37,    -30:20:39.6, 28.7,  8.97
GL-z9-7   , 00:14:02.52,    -30:21:57.0, 28.9, 10.32
GL-z9-8   , 00:14:00.83,    -30:21:29.8, 29.1,  9.08
GL-z9-9   , 00:14:03.71,    -30:21:03.6, 29.1,  9.27
GL-z9-10  , 00:14:03.47,    -30:19:00.9, 29.1,  8.73
GL-z9-11  , 00:14:02.49,    -30:22:00.9, 29.4,  9.89
GL-z9-12  , 00:14:06.85,    -30:22:02.0, 29.7,  9.07
GL-z9-13  , 00:13:57.45,    -30:18:00.0, 29.7,  8.74
SM-z12-1  , 07:22:32.59,    -73:28:33.3, 29.8,  12.47
GL-z12-1  , 00:13:59.74,    -30:19:29.1, 27.2,  12.28
CR2-z12-1 , 14:19:46.36,     52:56:32.8, 28.2,  11.63
CR2-z12-2 , 14:19:42.57,     52:54:42.0, 28.6,  11.96
CR2-z12-3 , 14:19:41.61,     52:55:07.6, 28.8,  11.66
CR2-z12-4 , 14:19:24.86,     52:53:13.9, 28.9,  12.08
CR3-z12-1 , 14:19:11.11,     52:49:33.6, 29.8,  11.05
S5-z12-1  , 22:36:06.72,     34:00:09.7, 27.9,  12.58
CR2-z16-1 , 14:19:39.48,     52:56:34.9, 26.4,  16.25
S5-z16-1  , 22:36:03.81,     33:54:16.7, 26.8,  16.41
