id,ra,dec,zspec
ceers-1345_44,215.001115,53.011269,7.105
ceers-1345_439,214.825364,52.863065,7.179
ceers-1345_829,214.861594,52.876159,7.167
ceers-1345_1023,215.188413,53.033647,7.789
ceers-062_1345_102,214.882994,52.840416,7.832
ceers-1345_1029,215.218762,53.069862,8.612
ceers-1345_1149,215.089714,52.966183,8.172
ceers-1345_1163,214.990468,52.97199,7.453
rxj2129-2767_11027,322.421553,0.091687,9.500
rxj2129-2767_11002,322.416266,0.099675,8.152
abell2744-2756_100001,3.603845,-30.382235,7.878
abell2744-2756_10025,3.596094,-30.385806,7.885
