id, zspec, rah, decd, Muv
CEERS-24   , 8.999, 14:19:35.336, +52:50:37.87 , -19.39
CEERS-23   , 8.881, 14:19:36.301, +52:50:49.19 , -18.87
CEERS-1025 , 8.715, 14:19:52.211, +52:55:58.63 , -21.12
CEERS-1019 , 8.678, 14:20:08.494, +52:53:26.38 , -22.42
CEERS-1029 , 8.610, 14:20:52.503, +53:04:11.50 , -21.63
CEERS-1149 , 8.175, 14:20:21.531, +52:57:58.26 , -20.60
CEERS-3    , 8.00 , 14:20:01.245, +52:59:47.69 , -18.54
CEERS-1027 , 7.819, 14:19:31.919, +52:50:25.50 , -20.60
CEERS-1023 , 7.776, 14:20:45.219, +53:02:01.13 , -20.87
CEERS-686  , 7.74 , 14:20:36.207, +52:59:22.42 , -20.66
CEERS-689  , 7.545, 14:19:59.773, +52:56:31.12 , -22.14
CEERS-698  , 7.470, 14:20:12.076, +53:00:26.79 , -21.86
CEERS-1163 , 7.448, 14:19:57.712, +52:58:19.16 , -20.24
CEERS-1038 , 7.194, 14:20:09.527, +52:54:05.75 , -19.25
CEERS-498  , 7.18 , 14:19:15.131, +52:50:03.30 , -20.21
CEERS-499  , 7.168, 14:19:15.121, +52:50:03.01 , -16.97
CEERS-44   , 7.10 , 14:20:00.268, +53:00:40.57 , -19.37
CEERS-407  , 7.028, 14:19:21.436, +52:52:57.23 , -18.95
CEERS-1102 , 7.00 , 14:20:21.851, +52:57:15.43 , -20.04
CEERS-717  , 6.932, 14:20:19.537, +52:58:19.85 , -21.64
CEERS-1143 , 6.928, 14:20:18.482, +52:58:10.22 , -20.04
