id, mptid, ra, dec, mag, zphot, zplo, zphi, zspec, zserr, zflag
CEERS1_3858, 2	, 214.994402, 52.989379, 27.2, 8.95, -0.18, 0.15, 	8.807, 0.003	,  Confirmed
CEERS1_3908, 3	, 215.005189, 52.996580, 27.3, 9.04, -0.06, 1.29, 	8.005, 0.001    ,  Confirmed
CEERS1_3910, 4	, 215.005365, 52.996697, 28.0, 9.55, -0.39, 1.05, 	7.9932, 0.0006  ,  Confirmed
CEERS1_6059, 7	, 215.011706, 52.988303, 27.0, 9.01, -0.06, 0.06, 	8.876, 0.002    ,  Confirmed
CEERS3_1748, 20	, 214.830685, 52.887771, 28.5, 8.77, -1.08, 0.45, 	7.769, 0.003	 , Confirmed
CEERS6_7603, 23	, 214.901252, 52.846997, 28.9, 11.32, -1.74, 0.30, 	8.8805, 0.0005  ,  Confirmed
CEERS6_7641, 24	, 214.897232, 52.843854, 28.1, 8.95, -0.15, 1.95, 	8.9980, 0.0005  ,  Confirmed
CEERS1_1730, 0	, 215.010022, 53.013641, 27.7, 13.36, -1.08, 0.84, 	-1, -1, Not confirmed
CEERS6_4012, 21	, 214.888127, 52.858987, 27.6, 8.89, -0.36, 0.36, 	-1, -1, Not confirmed
CEERS6_4407, 22	, 214.869661, 52.843646, 29.0, 10.63, -0.57, 0.81, 	-1, -1, Not confirmed
CEERS1_8817, 9	, 215.043999, 52.994302, 28.1, 10.60, -0.36, 0.42, 	9.696, -1, Tentative
