id, ra, dec, zspec
  ERO_04590    , 110.8593287 , -73.4491656 , 8.496
  ERO_05144    , 110.8396739 , -73.4453570 , 6.378 
  ERO_06355    , 110.8445942 , -73.4350590 , 7.665
  ERO_08140    , 110.7880022 , -73.4618680 , 5.275
  ERO_10612    , 110.8339649 , -73.4345232 , 7.660 
GLASS_10000    ,   3.6013389 , -30.3792254 , 7.881
GLASS_100001   ,   3.6038450 , -30.3822348 , 7.874
GLASS_100003   ,   3.6045089 , -30.3804439 , 7.8774
GLASS_100005   ,   3.6064583 , -30.3809939 , 7.879
GLASS_10021    ,   3.6085111 , -30.4185405 , 7.286 
GLASS_150008   ,   3.6025299 , -30.4192324 , 6.229
GLASS_50038    ,   3.5651997 , -30.3942643 , 5.772
GLASS_110000   ,   3.5706428 , -30.4146381 , 5.763
GLASS_160122   ,   3.5649015 , -30.4249568 , 5.331
GLASS_50002    ,   3.5770012 , -30.4155218 , 5.133
GLASS_80070    ,   3.5823211 , -30.3876547 , 4.797
GLASS_150029   ,   3.5771664 , -30.4225760 , 4.584 
GLASS_40066    ,   3.5997164 , -30.4318948 , 4.020
GLASS_160133   ,   3.5802754 , -30.4244041 , 4.0154
GLASS_80029    ,   3.6031803 , -30.4157094 , 3.951
CEERS_00003    , 215.0051890 ,  52.9965800 , 8.005
CEERS_00007    , 215.0117060 ,  52.9883030 , 8.873
CEERS_00044    , 215.0011150 ,  53.0112690 , 7.104
CEERS_00067    , 215.0155970 ,  53.0118570 , 6.212
CEERS_00314    , 214.8689530 ,  52.8772060 , 5.270
CEERS_00323    , 214.8725560 ,  52.8759490 , 5.668
CEERS_00355    , 214.8064820 ,  52.8788270 , 6.105
CEERS_00356    , 214.8052900 ,  52.8778610 , 5.641
CEERS_00362    , 214.8126890 ,  52.8815360 , 6.051
CEERS_00381    , 214.8196710 ,  52.8797550 , 5.513
CEERS_00386    , 214.8321840 ,  52.8850830 , 6.618
CEERS_00397    , 214.8361970 ,  52.8826930 , 6.005 
CEERS_00403    , 214.8289680 ,  52.8757010 , 5.766
CEERS_00407    , 214.8393160 ,  52.8825650 , 7.029
CEERS_00439    , 214.8253640 ,  52.8630650 , 7.179
CEERS_00498    , 214.8130450 ,  52.8342490 , 7.179
CEERS_00515    , 214.8785340 ,  52.8741420 , 5.664
CEERS_00534    , 214.8591170 ,  52.8536400 , 7.115
CEERS_00542    , 214.8316240 ,  52.8315050 , 7.064
CEERS_00545    , 214.8644110 ,  52.8536570 , 5.668
CEERS_00577    , 214.8928610 ,  52.8651570 , 6.695
CEERS_00603    , 214.8672470 ,  52.8367370 , 6.059
CEERS_00618    , 214.8764690 ,  52.8394120 , 6.055
CEERS_00669    , 214.8963810 ,  52.8385140 , 5.273
CEERS_00670    , 214.9036810 ,  52.8449140 , 5.804
CEERS_00672    , 214.8896770 ,  52.8329770 , 5.666
CEERS_00686    , 215.1508619 ,  52.9895618 , 7.752
CEERS_00689    , 214.9990525 ,  52.9419767 , 7.549
CEERS_00698    , 215.0503166 ,  53.0074406 , 7.471
