id, ra, dec, mag, zphot
NGD-z8a    ,  53.23465, -27.81601, 28.80 ,  8.63
NGD-z8b    ,  53.24245, -27.80109, 29.58 ,  8.71
NGD-z8c    ,  53.24886, -27.82388, 28.62 ,  8.77
NGD-z8d    ,  53.25345, -27.79971, 29.03 ,  8.84
NGD-z8e    ,  53.22561, -27.80824, 29.83 ,  8.86
NGD-z8f    ,  53.25449, -27.82937, 29.05 ,  8.88
NGD-z9a    ,  53.23223, -27.81654, 26.60 ,  9.05
NGD-z9b    ,  53.26095, -27.82008, 27.42 ,  9.37
NGD-z9c    ,  53.24578, -27.80609, 29.21 ,  9.75
NGD-z10a   ,  53.26388, -27.81721, 29.62 , 10.20
NGD-z10b   ,  53.24223, -27.83051, 28.91 , 10.29
NGD-z10c   ,  53.27685, -27.85078, 28.68 , 10.55
NGD-z10d   ,  53.25869, -27.80494, 29.30 , 10.69
NGD-z11a   ,  53.26715, -27.84908, 28.06 , 11.10
NGD-z11b   ,  53.24201, -27.85526, 29.31 , 11.31
NGD-z11c   ,  53.27762, -27.86748, 29.29 , 11.95
NGD-z12a   ,  53.26652, -27.87676, 28.75 , 12.15
NGD-z15a   ,  53.24942, -27.87590, 29.81 , 15.57
