id,ra,dec,zspec,zconf
MUSE-36,69.300199,0.724885,0.0,3
MUSE-1,69.287422,0.720025,0.0,3
MUSE-23,69.293883,0.719250,0.0,3
MUSE-144,69.278981,0.735072,0.0,3
MUSE-148,69.278130,0.734774,0.0,3
MUSE-242,69.284718,0.733038,0.0,3
MUSE-269,69.281220,0.742567,0.0,3
MUSE-270,69.281368,0.742612,0.0,1
MUSE-295,69.282486,0.741377,0.0,3
MUSE-335,69.278440,0.737121,0.0,3
MUSE-394,69.294448,0.733462,0.0,3
MUSE-418,69.285823,0.731761,0.0,2
MUSE-164,69.278621,0.730174,0.0,3
MUSE-61,69.291998,0.724180,0.1331,3
MUSE-355,69.295785,0.737536,0.1509,3
MUSE-143,69.287493,0.723762,0.2276,3
MUSE-347,69.299119,0.738344,0.2706,2
MUSE-70,69.298685,0.723945,0.2728,3
MUSE-314,69.282983,0.734522,0.2737,3
MUSE-141,69.293827,0.728464,0.2761,3
MUSE-278,69.278451,0.742109,0.2762,3
MUSE-94,69.292593,0.725731,0.2763,3
MUSE-265,69.281108,0.743034,0.2767,3
MUSE-285,69.298691,0.741911,0.2772,3
MUSE-85,69.295235,0.725084,0.2773,2
MUSE-247,69.293153,0.733159,0.2773,2
MUSE-114,69.297345,0.727491,0.2774,3
MUSE-331,69.288764,0.738689,0.2775,3
MUSE-42,69.290183,0.733377,0.2777,3
MUSE-123,69.279230,0.727184,0.2779,1
MUSE-124,69.285356,0.728749,0.2779,3
MUSE-268,69.296571,0.734277,0.278,3
MUSE-41,69.299315,0.720843,0.2781,3
MUSE-138,69.280723,0.728348,0.2797,2
MUSE-38,69.286169,0.722339,0.2802,3
MUSE-375,69.288889,0.735750,0.2803,3
MUSE-385,69.292902,0.735361,0.2806,3
MUSE-420,69.302130,0.731618,0.2812,1
MUSE-317,69.293173,0.739547,0.2814,1
MUSE-249,69.301784,0.743526,0.2823,3
MUSE-211,69.294547,0.732386,0.2825,3
MUSE-110,69.288642,0.726516,0.2828,3
MUSE-307,69.293306,0.740691,0.2831,3
MUSE-128,69.291949,0.727719,0.2832,2
MUSE-39,69.284637,0.722154,0.2835,3
MUSE-43,69.292603,0.721396,0.2839,3
MUSE-105,69.301158,0.726034,0.284,1
MUSE-153,69.289806,0.729645,0.284,3
MUSE-339,69.296533,0.737601,0.284,3
MUSE-66,69.286721,0.724009,0.2841,3
MUSE-37,69.296126,0.720720,0.2843,1
MUSE-246,69.285004,0.735461,0.2844,3
MUSE-11,69.284842,0.717586,0.2852,2
MUSE-91,69.284136,0.725132,0.2854,3
MUSE-177,69.288698,0.730128,0.2854,3
MUSE-163,69.289101,0.730068,0.2855,3
