id, rah, decd, zspec
CEERS_01244	,     14:20:57.76,  53:02:09.8, 4.478
GLASS_160133,     00:14:19.27, -30:25:27.8, 4.015
GLASS_150029, 	  00:14:18.52, -30:25:21.3, 4.583
CEERS_00746	,     14:19:14.19,  52:52:06.5, 5.624
CEERS_01665	,     14:20:42.77,  53:03:33.7, 4.483
CEERS_00672	,     14:19:33.52,  52:49:58.7, 5.666
CEERS_02782	,     14:19:17.63,  52:49:49.0, 5.241
CEERS_00397	,     14:19:20.69,  52:52:57.7, 6.000
CEERS_00717	,     14:20:19.54,  52:58:19.9, 6.936
CEERS_01236	,     14:20:34.87,  52:58:02.2, 4.484
CEERS_01465	,     14:19:33.12,  52:53:17.7, 5.274
CEERS_01019	,     14:20:08.49,  52:53:26.4, 8.681	
