id, rah, decd, zphot, Muv
CEERS-NE-z10-3069854  ,   14:20:03.35 ,   53:00:24.37 , 10.4,  -19.83 
CEERS-2-2-z10-22229   ,   14:20:03.68 ,   52:54:49.37 ,  9.8,  -19.11 
CEERS-2-3-z10-6303    ,   14:19:38.56 ,   52:52:33.11 , 10.4,  -20.38 
CEERS-2-5-z10-9617    ,   14:18:55.80 ,   52:45:29.06 , 10.3,  -20.20 
CEERS-2-5-z10-17402   ,   14:19:10.56 ,   52:46:45.07 , 10.4,  -19.19 
CEERS-2-6-z10-3530    ,   14:19:14.85 ,   52:44:13.63 , 10.4,  -20.49 
CEERS-2-6-z10-17416   ,   14:19:31.50 ,   52:46:22.66 , 10.1,  -19.22 
CEERS-2-6-z10-7927    ,   14:19:16.11 ,   52:44:54.05 , 10.0,  -19.97 
DDT2756-z10-1010177   ,   00:14:35.54 ,  -30:25:35.80 , 10.0,  -19.08 
DDT2756-z10-1010612   ,   00:14:28.17 ,  -30:25:31.69 ,  9.5,  -19.47 
GLASS-z10-3283        ,   00:14:02.87 ,  -30:22:18.71 , 10.3,  -20.15
GLASS-z10-15864       ,   00:13:54.90 ,  -30:20:43.95 ,  9.6,  -19.52 
GLASS-z9-32411        ,   00:13:49.13 ,  -30:19:00.85 ,  9.3,  -19.15 
GLASS-z9-9023         ,   00:14:03.99 ,  -30:21:33.00 ,  9.3,  -17.94 
J1235-z10-1046989     ,   12:35:52.06 ,   04:55:03.82 ,  9.7,  -18.69 
MACS0647-z9-20158     ,   06:47:36.95 ,   70:14:34.69 ,  9.5,  -19.21 
NEPTDF-z10-1042051    ,   17:23:00.91 ,   65:49:25.20 ,  9.6,  -20.17 
RXJ2129-z9-16261      ,   21:29:38.97 ,   00:06:50.84 ,  9.1,  -20.21 
RXJ2129-z9-3021681    ,   21:29:40.45 ,   00:06:43.45 ,  8.8,  -19.91 
UNCOVER-z9-3658       ,   00:14:20.82 ,  -30:25:23.25 ,  9.3,  -18.51 
UNCOVER-z10-3892      ,   00:14:24.69 ,  -30:25:20.55 ,  9.7,  -18.01 
UNCOVER-z10-23585     ,   00:14:29.82 ,  -30:23:20.69 , 10.4,  -18.43 
UNCOVER-z10-15452     ,   00:14:22.79 ,  -30:24:02.56 , 10.4,  -18.29 
UNCOVER-z10-32757     ,   00:14:16.09 ,  -30:22:40.16 , 10.4,  -19.17 
UNCOVER-z10-47904     ,   00:14:23.90 ,  -30:21:37.14 ,  9.6,  -18.18 
UNCOVER-z9-3061884    ,   00:14:05.50 ,  -30:21:40.34 ,  9.3,  -19.02 
WHL0137-10187         ,   01:37:25.74 ,  -08:26:38.21 ,  9.3,  -17.60 
WHL0137-2004877       ,   01:37:22.12 ,  -08:28:00.71 ,  9.4,  -18.54 
WHL0137-21722         ,   01:37:19.28 ,  -08:25:25.64 ,  9.3,  -19.18 
