id,ra,dec,zphot,zspec,z_spec_source,Muv,mag
JADES-GS-53.10776-27.81294,53.107760741987086,-27.812944045888283,8.26,-9999.0,-,-18.60,29.418424093316144
JADES-GS-53.1106-27.81543,53.110604867864105,-27.81543065195376,8.93,-9999.0,-,-18.22,29.750556964371988
JADES-GS-53.11392-27.79584,53.113922823932064,-27.79584318902934,9.43,-9999.0,-,-19.48,28.921917990302497
JADES-GS-53.11685-27.80056,53.11685212541723,-27.800561250353855,9.13,-9999.0,-,-18.55,29.157417818394865
JADES-GS-53.11711-27.80797,53.117111520749184,-27.80796959271988,8.51,-9999.0,-,-17.89,29.947784602878283
JADES-GS-53.11825-27.81177,53.118249404771255,-27.81177362274396,8.25,-9999.0,-,-17.61,29.12350572601689
JADES-GS-53.12063-27.80766,53.12063370264944,-27.807657560011805,8.76,-9999.0,-,-18.93,29.337268474881867
JADES-GS-53.12071-27.80199,53.12070758005817,-27.80199499947307,9.09,-9999.0,-,-18.34,30.020272302346207
JADES-GS-53.12239-27.78814,53.122385176588416,-27.78814083458058,11.5,-9999.0,-,-18.24,29.249968929207597
JADES-GS-53.12692-27.79102,53.12692424707765,-27.79102220967293,15.77,-9999.0,-,-18.87,29.0846490153083
JADES-GS-53.12721-27.79642,53.1272097511886,-27.796416665637246,8.61,-9999.0,-,-19.25,28.36894550781288
JADES-GS-53.12737-27.81805,53.12736727202219,-27.818051508549804,10.71,-9999.0,-,-17.80,29.78994689979241
JADES-GS-53.12919-27.80068,53.12919065786072,-27.8006770381499,8.67,-9999.0,-,-17.10,30.06976150056707
JADES-GS-53.1292-27.80825,53.129196029717974,-27.80824695313751,9.1,-9999.0,-,-17.91,29.79844700204478
JADES-GS-53.12949-27.81472,53.12948724041025,-27.81472290497143,9.29,-9999.0,-,-17.33,30.092588304517687
JADES-GS-53.13274-27.7967,53.13273532457873,-27.796699464380275,10.47,-9999.0,-,-17.71,29.808785539149568
JADES-GS-53.13368-27.80371,53.13368103065342,-27.803711979929627,11.58,-9999.0,-,-17.53,30.512246464772893
JADES-GS-53.13382-27.8167,53.133820734583395,-27.816697713624176,9.02,-9999.0,-,-18.38,29.327218432169285
JADES-GS-53.13506-27.79161,53.13506478064079,-27.791608230605195,11.24,-9999.0,-,-18.12,30.350174166415187
JADES-GS-53.13535-27.80596,53.13534728669264,-27.805963520263816,11.82,-9999.0,-,-17.61,30.795655247497326
JADES-GS-53.13549-27.76606,53.13548781267514,-27.76606340861568,8.94,-9999.0,-,-17.43,29.67743100085942
JADES-GS-53.13563-27.79185,53.13563275440562,-27.791848483031387,8.02,7.75771,FRESCO,-19.89,27.714611149909874
JADES-GS-53.13593-27.78043,53.13592602827605,-27.780425637296364,9.44,-9999.0,-,-17.36,30.100495415965888
JADES-GS-53.13639-27.81306,53.13638593425707,-27.813064223387563,11.01,-9999.0,-,-17.79,29.63004632826265
JADES-GS-53.1387-27.79248,53.13870421206935,-27.792479236430214,8.87,-9999.0,-,-17.01,28.3991124154443
JADES-GS-53.13871-27.819,53.13870518026182,-27.819002523482112,10.05,-9999.0,-,-18.07,29.56952210563345
JADES-GS-53.13918-27.78273,53.139184121503966,-27.782726134741694,10.49,-9999.0,-,-17.85,30.014984833080177
JADES-GS-53.13969-27.76123,53.1396928322186,-27.761234836092,8.92,-9999.0,-,-18.77,28.462795328545695
JADES-GS-53.14091-27.77279,53.14091348198567,-27.772794218761767,8.92,-9999.0,-,-18.66,28.415365313920674
JADES-GS-53.141-27.82825,53.140996997540164,-27.828252259069668,8.09,-9999.0,-,-18.51,29.28204879038296
