id, rah, decd, zspec
GOODS-N-4014 , 12:37:12.03, +62:12:43.36, 5.228
GOODS-N-9771 , 12:37:07.44, +62:14:50.31, 5.538
GOODS-N-12839, 12:37:22.63, +62:15:48.11, 5.241
GOODS-N-13733, 12:36:13.70, +62:16:08.18, 5.236
GOODS-N-14409, 12:36:17.30, +62:16:24.35, 5.139
GOODS-N-15498, 12:37:08.53, +62:16:50.82, 5.086
GOODS-N-16813, 12:36:43.03, +62:17:33.12, 5.355
GOODS-S-13971,  3:32:33.26, -27:47:24.90, 5.481
J1148-7111   , 11:48:24.41, +52:54:28.66, 4.339
J1148-18404  , 11:48:13.91, +52:51:46.09, 5.011
J1148-21787  , 11:48:05.14, +52:50:01.04, 4.277
J0100-2017   , 01:00:13.93, +28:04:20.69, 4.938
J0100-12446  , 01:00:11.58, +28:00:34.98, 4.699
J0100-15157  , 01:00:07.26, +28:03:00.64, 4.941
J0100-16221  , 01:00:08.17, +28:03:05.68, 4.349
J0148-976    , 01:48:35.08, +05:57:20.97, 4.163
J0148-4214   , 01:48:33.29, +05:59:50.04, 5.019
J0148-12884  , 01:48:41.58, +06:00:57.30, 4.602
J1120-7546   , 11:19:59.86, +06:39:17.01, 4.967
J1120-14389  , 11:20:00.89, +06:43:10.42, 4.897
