id, ra, dec, zphot, zphot_err, xi_Ha
JADES-GS+53.11634-27.81272, 53.11634, -27.81272  ,  3.9094  ,  0.0476  ,  25.26  
JADES-GS+53.20925-27.75711, 53.20925, -27.75711  ,  3.9196  ,  0.0379  ,  25.52  
JADES-GS+53.12549-27.78044, 53.12549, -27.78044  ,  3.9413  ,  0.0462  ,  25.17  
JADES-GS+53.18436-27.80581, 53.18436, -27.80581  ,  3.9496  ,  0.0402  ,  25.43  
JADES-GS+53.16268-27.73611, 53.16268, -27.73611  ,  3.9496  ,  0.0399  ,  25.31  
JADES-GS+53.15123-27.79826, 53.15123, -27.79826  ,  3.9595  ,  0.0446  ,  25.24  
JADES-GS+53.15282-27.79549, 53.15282, -27.79549  ,  3.9688  ,  0.0417  ,  25.43  
JADES-GS+53.19804-27.76002, 53.19804, -27.76002  ,  3.9696  ,  0.0421  ,  25.25  
JADES-GS+53.13905-27.75893, 53.13905, -27.75893  ,  3.9740  ,  0.0515  ,  25.39  
JADES-GS+53.15186-27.75258, 53.15186, -27.75258  ,  3.9992  ,  0.0561  ,  25.34  
JADES-GS+53.17558-27.79245, 53.17558, -27.79245  ,  3.9997  ,  0.0354  ,  25.24  
JADES-GS+53.19271-27.81312, 53.19271, -27.81312  ,  4.0076  ,  0.0543  ,  24.92  
JADES-GS+53.16041-27.81743, 53.16041, -27.81743  ,  4.0079  ,  0.0454  ,  25.52  
JADES-GS+53.17025-27.82001, 53.17025, -27.82001  ,  4.0094  ,  0.0509  ,  25.37  
JADES-GS+53.16140-27.73710, 53.16140, -27.73710  ,  4.0196  ,  0.0409  ,  25.41  
JADES-GS+53.16873-27.81514, 53.16873, -27.81514  ,  4.0214  ,  0.0490  ,  25.57  
JADES-GS+53.16961-27.82693, 53.16961, -27.82693  ,  4.0273  ,  0.0503  ,  25.52  
JADES-GS+53.13484-27.80886, 53.13484, -27.80886  ,  4.0293  ,  0.0513  ,  25.39  
JADES-GS+53.12413-27.79913, 53.12413, -27.79913  ,  4.0334  ,  0.0504  ,  25.20  
JADES-GS+53.19743-27.79069, 53.19743, -27.79069  ,  4.0379  ,  0.0522  ,  25.35  
JADES-GS+53.15549-27.80389, 53.15549, -27.80389  ,  4.0415  ,  0.0429  ,  25.19  
JADES-GS+53.17586-27.79347, 53.17586, -27.79347  ,  4.0490  ,  0.0477  ,  24.81  
JADES-GS+53.13628-27.81039, 53.13628, -27.81039  ,  4.0493  ,  0.0538  ,  24.98  
JADES-GS+53.16740-27.76689, 53.16740, -27.76689  ,  4.0809  ,  0.0497  ,  25.45  
JADES-GS+53.14082-27.82010, 53.14082, -27.82010  ,  4.0894  ,  0.0482  ,  25.17  
JADES-GS+53.16633-27.83528, 53.16633, -27.83528  ,  4.0897  ,  0.0362  ,  25.12  
JADES-GS+53.18440-27.79133, 53.18440, -27.79133  ,  4.1047  ,  0.0442  ,  25.55  
JADES-GS+53.17611-27.76199, 53.17611, -27.76199  ,  4.1097  ,  0.0349  ,  25.65  
JADES-GS+53.14214-27.74828, 53.14214, -27.74828  ,  4.1097  ,  0.0356  ,  25.29  
JADES-GS+53.16478-27.79367, 53.16478, -27.79367  ,  4.1105  ,  0.0469  ,  25.39  
JADES-GS+53.15266-27.78942, 53.15266, -27.78942  ,  4.1174  ,  0.0572  ,  25.55  
JADES-GS+53.16829-27.74203, 53.16829, -27.74203  ,  4.1195  ,  0.0434  ,  25.29  
JADES-GS+53.18949-27.77192, 53.18949, -27.77192  ,  4.1196  ,  0.0389  ,  25.45  
JADES-GS+53.20946-27.78080, 53.20946, -27.78080  ,  4.1294  ,  0.0478  ,  25.40  
JADES-GS+53.21524-27.77762, 53.21524, -27.77762  ,  4.1295  ,  0.0444  ,  25.33  
JADES-GS+53.15839-27.74092, 53.15839, -27.74092  ,  4.1295  ,  0.0466  ,  25.22  
JADES-GS+53.16939-27.78638, 53.16939, -27.78638  ,  4.1359  ,  0.0486  ,  25.48  
JADES-GS+53.14252-27.77043, 53.14252, -27.77043  ,  4.1370  ,  0.0489  ,  25.42  
JADES-GS+53.14315-27.81558, 53.14315, -27.81558  ,  4.1417  ,  0.0374  ,  25.18  
JADES-GS+53.11332-27.80300, 53.11332, -27.80300  ,  4.1474  ,  0.0504  ,  25.28  
JADES-GS+53.15613-27.82130, 53.15613, -27.82130  ,  4.1495  ,  0.0437  ,  25.29  
JADES-GS+53.17257-27.74308, 53.17257, -27.74308  ,  4.1597  ,  0.0362  ,  25.34  
JADES-GS+53.16147-27.81751, 53.16147, -27.81751  ,  4.1695  ,  0.0472  ,  25.14  
