id, ra, dec, zspec
56033      , 214.86605, 52.88426, 3.434  
39138      , 214.87123, 52.84507, 3.442  
2342       , 214.94776, 52.81789, 3.4360 
12903      , 214.92221, 52.82193, 3.445  
17600      , 214.91318, 52.82468, 3.4379 
19339      , 214.91113, 52.82679, 3.440  
29557      , 214.87865, 52.82586, 3.4406 
30531      , 214.88879, 52.83527, 3.4375 
36814      , 214.88185, 52.84637, 3.435  
42414      , 214.96231, 52.92031, 3.4387 
46256      , 214.93161, 52.90870, 3.436  
48525      , 214.89515, 52.88820, 3.450  
49364      , 214.85886, 52.86363, 3.4365 
49474      , 214.91082, 52.90096, 3.4405
54034      , 214.87806, 52.88808, 3.449
55035      , 214.86438, 52.88086, 3.4431
55136      , 214.86379, 52.88037, 3.4406
55785      , 214.86578, 52.88342, 3.439
56241      , 214.84940, 52.87305, 3.4526
1345-11017 , 214.93245, 52.82039, 3.445
