id, ra, dec, mag, zphot, zspec
57356, 53.115317, -27.859217, 25.4, 4.24, -1.00
81400, 53.125402, -27.839967, 26.6, 14.45, -1.00
88481, 53.105475, -27.830682, 24.6, 5.64, -1.00
90354, 53.133825, -27.828256, 27.0, 7.91, 7.87
104849, 53.101881, -27.810949, 26.3, 5.29, 5.12
106502, 53.145292, -27.808668, 25.6, 2.89, -1.00
108239, 53.160381, -27.806011, 25.7, 4.04, -1.00
120484, 53.125426, -27.787438, 25.8, 5.34, 5.00
121710, 53.126897, -27.786153, 25.4, 7.78, -1.00
122931, 53.200550, -27.784925, 29.0, 16.07, -1.00
126594, 53.144299, -27.779856, 27.3, 10.64, 7.95
132229, 53.203996, -27.772097, 26.1, 7.56, 7.25
143133, 53.147950, -27.759931, 27.6, 6.20, -1.00
154428, 53.158173, -27.739130, 25.8, 6.41, -1.00
179755, 53.082131, -27.859873, 24.4, 3.63, -1.00
183348, 53.082937, -27.855632, 27.3, 14.35, -1.00
184838, 53.096419, -27.853090, 27.0, 5.33, 5.38
189489, 53.173662, -27.841913, 24.9, 4.19, -1.00
189494, 53.162966, -27.841946, 24.5, 4.34, -1.00
189775, 53.087378, -27.840274, 25.4, 3.63, -1.00
190413, 53.084040, -27.839348, 24.4, 17.77, -1.00
198459, 53.119122, -27.814039, 24.3, 3.58, 3.59
200576, 53.154771, -27.806522, 24.4, 5.5, -1.00
201793, 53.188275, -27.801938, 25.3, 4.02, -1.00
203749, 53.121420, -27.794912, 26.0, 7.66, -1.00
204851, 53.138593, -27.790253, 24.5, 5.46, 5.48
209303, 53.206314, -27.775716, 25.0, 5.82, -1.00
214839, 53.196571, -27.757063, 24.0, 3.57, -1.00
217926, 53.184783, -27.744047, 26.9, 6.93, 5.04
219000, 53.161375, -27.737665, 25.1, 6.92, 6.81
279678, 53.108795, -27.869027, 25.0, 14.65, -1.00
5070, 53.092006, -27.903137, 24.9, 4.28, -1.00
5756, 53.062410, -27.901838, 25.6, 3.78, -1.00
11004, 53.059444, -27.893633, 28.9, 11.48, -1.00
11786, 53.119075, -27.892556, 26.3, 7.34, -1.00
13436, 53.068073, -27.890551, 28.1, 4.69, -1.00
35203, 53.140041, -27.874603, 27.2, 3.89, -1.00
35453, 53.057030, -27.874375, 25.1, 5.04, -1.00
39005, 53.080165, -27.871306, 28.5, 15.83, -1.00
39376, 53.064113, -27.870933, 25.8, 6.32, -1.00
40983, 53.046050, -27.869633, 28.8, 13.49, -1.00
45564, 53.055347, -27.866132, 25.1, 3.78, -1.00
65559, 53.041051, -27.854478, 25.2, 4.07, -1.00
75446, 53.036392, -27.846575, 25.3, 5.83, -1.00
79086, 53.044180, -27.842933, 27.2, 4.87, -1.00
82667, 53.067296, -27.838335, 26.2, 6.46, -1.00
104849, 53.101881, -27.810949, 26.3, 5.29, 5.12
152330, 53.102742, -27.744467, 25.8, 5.16, -1.00
161143, 53.024862, -27.894925, 27.3, 3.34, -1.00
161967, 53.036504, -27.894148, 25.6, 3.17, -1.00
168364, 53.144844, -27.879612, 27.5, 6.08, -1.00
170384, 53.074866, -27.875907, 24.2, 4.73, -1.00
171209, 53.043730, -27.874185, 24.8, 3.65, -1.00
171973, 53.086837, -27.873047, 23.0, 4.49, -1.00
172813, 53.047201, -27.870031, 23.4, 11.67, -1.00
173706, 53.080377, -27.869467, 24.1, 3.64, -1.00
177680, 53.064791, -27.862624, 23.3, 8.63, -1.00
189276, 53.042071, -27.842660, 24.8, 5.87, -1.00
189494, 53.162966, -27.841946, 24.5, 4.34, -1.00
189508, 53.042426, -27.841815, 23.8, 4.76, -1.00
212950, 53.132665, -27.765488, 24.0, 4.18, -1.00
236329, 53.089004, -27.738202, 24.8, 6.30, -1.00
237934, 53.055599, -27.725428, 27.9, 15.67, -1.00
242033, 53.041931, -27.696133, 28.1, 4.05, -1.00
242342, 53.054126, -27.694044, 25.5, 3.37, -1.00
247084, 53.060897, -27.718430, 24.1, 11.69, -1.00
283711, 53.082649, -27.864812, 28.8, 14.56, -1.00
284487, 53.078688, -27.839396, 26.8, 3.64, -1.00
284527, 53.041065, -27.837737, 23.3, 9.84, -1.00
284756, 53.073995, -27.828662, 24.4, 3.32, -1.00
286677, 53.155126, -27.727785, 24.9, 3.51, -1.00
