id, nircam_id, ra, dec, zphot, Muv
JADES+53.09731-27.84714   ,   74977,  53.09731,  -27.84714,  11.53,  -17.66
JADES+53.02618-27.88716   ,   16699,  53.02618,  -27.88716,  11.56,  -17.94
JADES+53.04017-27.87603   ,   33309,  53.04017,  -27.87603,  12.10,  -17.73
JADES+53.03547-27.90037   ,  160071,  53.03547,  -27.90037,  12.38,  -18.16
JADES+53.06475-27.89024   ,   13731,  53.06475,  -27.89024,  12.93,  -18.78
JADES+53.02868-27.89301   ,   11457,  53.02868,  -27.89301,  13.52,  -18.55
JADES+53.07557-27.87268   ,  376946,  53.07557,  -27.87268,  14.38,  -18.28
JADES+53.10762-27.86013   ,   55733,  53.10762,  -27.86013,  14.63,  -18.54
JADES+53.07248-27.85535   ,   64312,  53.07248,  -27.85535,  10.61,  -17.80
JADES+53.03139-27.87219   ,  172510,  53.03139,  -27.87219,  10.76,  -17.85
JADES+53.09292-27.84607   ,   76035,  53.09292,  -27.84607,  11.05,  -17.83
JADES+53.06857-27.85093   ,   70836,  53.06857,  -27.85093,  11.17,  -18.02
JADES+53.08468-27.86666aux,   44962,  53.08468,  -27.86666,  12.90,  -18.16
JADES+53.07385-27.86072aux,   54586,  53.07385,  -27.86072,  13.06,  -17.08
JADES+53.08294-27.85563aux,  183348,  53.08294,  -27.85563,  14.39,  -21.00
