id,ra,dec,zspec,source,qf
193,177.7358255,-28.1021995,0.387,d,3
658,177.7464233,-28.0935222,0.3827,d,3
20,177.7085919,-28.1162771,0.3795,v,3
367,177.6920792,-28.1013013,0.387,d,3
419,177.691384,-28.1010025,0.3722,d,3
543,177.6876505,-28.0985894,0.3865,d,3
550,177.683378,-28.0970736,0.3873,v,3
1117,177.6779409,-28.0885179,0.2354,m,3
1086,177.6694328,-28.0835591,0.3787,d,3
4,177.7126823,-28.1198037,0.3054,d,3
18,177.7148454,-28.1151111,0.3894,d,3
27,177.7180074,-28.1109014,0.3211,d,3
13,177.7113445,-28.110115,0.8081,d,3
82,177.7156269,-28.1075514,0.4,d,3
422,177.7199384,-28.1018475,2.2738,m,1
386,177.72271,-28.10241,1.1688,v,3
436,177.7228055,-28.1014697,0.3852,m,3
514,177.7232743,-28.0995275,0.9184,m,9
339,177.7176823,-28.1017764,0.1021,m,3
444,177.718405,-28.1010702,0.8614,m,9
452,177.7199826,-28.1011333,0.2771,m,1
462,177.7199999,-28.100936,1.7214,m,9
344,177.7164855,-28.0997835,0.3828,m,3
455,177.7203381,-28.1010593,1.7202,m,9
467,177.7201605,-28.1008676,1.7202,m,9
473,177.7202852,-28.1008226,1.7202,m,9
483,177.7197761,-28.0999767,0.0,m,3
517,177.7195595,-28.099478,0.3869,m,2
366,177.7208755,-28.0983793,0.3791,m,3
552,177.7183627,-28.098641,0.3719,m,3
500,177.7193908,-28.0974344,0.3767,m,3
574,177.7209325,-28.0973361,0.3881,m,3
608,177.7202025,-28.0971652,0.3814,m,3
634,177.7195524,-28.0966298,0.3655,m,2
636,177.7208555,-28.0965979,0.3814,m,2
647,177.7205756,-28.0964356,0.3817,m,2
496,177.7252918,-28.0982739,1.7212,m,9
534,177.7250292,-28.0985106,1.7217,m,9
549,177.7234373,-28.0987458,0.384,m,3
6000,177.7252237,-28.0983306,1.7202,m,9
6001,177.7253692,-28.0982022,1.7214,m,9
578,177.7256318,-28.0979572,1.7212,m,9
580,177.7257489,-28.0978355,1.7203,m,9
583,177.7258188,-28.0977589,1.7208,m,9
590,177.7260096,-28.0975738,1.7218,m,9
454,177.7289551,-28.0969593,0.39,d,3
430,177.7280332,-28.0957133,0.3957,m,3
776,177.7280971,-28.0945185,0.3769,m,3
266,177.7235042,-28.097371,0.3711,m,3
572,177.7226088,-28.0976035,0.3871,m,3
584,177.7228228,-28.0977264,0.3702,m,3
587,177.7230934,-28.097588,0.3704,m,3
6058,177.7235057,-28.0963613,4.5206,m,9
691,177.72538,-28.0957855,0.3787,m,3
551,177.7218215,-28.0968153,0.3813,m,3
619,177.7209246,-28.09627,0.3822,m,3
716,177.7222629,-28.0953316,0.3332,m,3
766,177.7261029,-28.0943789,4.5206,m,9
6057,177.7261848,-28.094352,4.5206,m,9
6059,177.7256306,-28.0947997,4.5206,m,9
788,177.7267819,-28.093618,0.3885,m,3
841,177.7271968,-28.0931155,0.3786,m,3
6060,177.7270839,-28.0939052,4.5206,m,9
137,177.7072993,-28.1074157,0.3726,d,3
520,177.7104805,-28.0971623,0.363,d,3
264,177.699316,-28.1029656,0.3884,d,3
576,177.7035224,-28.0961276,0.3902,v,3
781,177.7046876,-28.0932233,0.8071,d,3
502,177.7161261,-28.0993045,0.365,m,3
562,177.7141182,-28.0980354,0.3856,m,3
597,177.7135005,-28.0973954,1.2495,m,9
680,177.7147459,-28.0959062,0.6047,m,2
600,177.7165665,-28.0973663,0.3844,m,2
646,177.7170408,-28.0964604,0.3842,m,3
615,177.7189276,-28.0964547,0.3936,m,3
633,177.7160265,-28.0966373,0.0,m,3
648,177.7160543,-28.0964382,0.391,m,2
690,177.7155822,-28.0957975,0.8165,m,2
772,177.718579,-28.0945008,0.3901,m,3
6002,177.7123703,-28.0965682,1.25,m,1
6003,177.7115894,-28.0965127,1.25,m,1
664,177.7142289,-28.095761,0.6045,m,3
686,177.7143261,-28.0958436,0.6045,m,3
698,177.7143504,-28.095704,0.6045,m,3
700,177.7145435,-28.0956936,0.6045,m,3
707,177.7144546,-28.0956034,0.6045,m,3
730,177.7132879,-28.0950462,2.0046,m,9
747,177.7136023,-28.0948379,2.0046,m,9
682,177.7110517,-28.0958734,2.0066,m,9
692,177.7112669,-28.0957808,2.0066,m,9
595,177.7120899,-28.0955752,0.3797,m,3
624,177.7159738,-28.094695,0.3769,m,3
760,177.7139245,-28.0946621,2.0046,m,9
777,177.7142107,-28.0944895,2.0046,m,9
784,177.7147639,-28.0942862,2.0046,m,9
556,177.7158618,-28.0931549,0.3512,m,3
918,177.7163756,-28.092086,0.3876,m,2
717,177.7135494,-28.0935339,0.605,m,3
808,177.7139586,-28.0938543,0.0,m,3
849,177.7135833,-28.0931235,0.6049,m,3
906,177.7145312,-28.0922158,0.3857,m,3
973,177.7154369,-28.0912085,0.6038,m,3
746,177.7212872,-28.094831,0.6145,m,3
773,177.7218079,-28.0925857,0.4026,m,3
779,177.7218228,-28.0943371,0.3814,m,3
871,177.7225654,-28.0927861,0.36,m,2
720,177.7192091,-28.0935896,0.382,m,3
881,177.7231902,-28.0926316,0.0,m,3
943,177.7240443,-28.0915911,0.376,m,3
935,177.7236968,-28.0909162,0.4025,m,3
963,177.7241391,-28.0913598,0.3888,m,3
1058,177.7220413,-28.0898942,5.3909,m,9
1105,177.7238525,-28.0892826,0.3771,m,3
856,177.7173848,-28.0929549,0.3845,m,3
958,177.7176361,-28.0914463,0.4191,m,3
1009,177.7179251,-28.0907493,0.3762,m,3
947,177.716064,-28.0895716,0.3841,m,3
975,177.7155674,-28.0911532,0.6035,m,3
1077,177.7167368,-28.0896118,0.3841,m,1
894,177.721122,-28.0896119,0.373,m,3
946,177.720822,-28.0886248,0.3715,m,3
1106,177.7208983,-28.0892676,4.1328,m,9
1183,177.7210996,-28.0882678,0.2425,m,3
1212,177.7205098,-28.087937,0.3792,m,1
1226,177.720583,-28.087736,0.0,m,3
1285,177.7218498,-28.0868779,0.0,m,3
1199,177.7180451,-28.0880711,0.381,m,3
6032,177.7197753,-28.0874566,3.5668,m,9
6045,177.7184278,-28.0875345,4.5172,m,9
1236,177.7205701,-28.08756,0.5303,m,1
1256,177.7199386,-28.0872903,0.3749,m,3
1291,177.7209511,-28.0858844,0.3059,m,3
794,177.7090156,-28.0938387,0.3926,m,3
916,177.7105146,-28.0921366,0.3669,m,2
6030,177.7112618,-28.0934127,5.1849,m,9
806,177.7077758,-28.0939045,2.9319,m,9
823,177.7075966,-28.0936239,0.6042,m,3
824,177.7076838,-28.0936325,0.6038,m,3
835,177.7074487,-28.0934086,0.6044,m,2
852,177.7073373,-28.0930416,0.6043,m,3
855,177.7074841,-28.092975,0.6043,m,3
6054,177.7072817,-28.0930794,0.6042,m,3
884,177.7088282,-28.091293,0.3724,m,3
929,177.7102416,-28.0918622,0.4027,m,3
822,177.7118803,-28.0924199,0.3832,m,3
893,177.7121854,-28.0923838,0.3832,m,3
905,177.7112804,-28.0922312,2.9324,m,9
965,177.7115095,-28.0913424,0.3826,m,3
988,177.7132076,-28.090024,0.3828,m,3
1042,177.7105124,-28.0901406,4.3466,m,9
1079,177.7106077,-28.0895692,0.3284,m,3
6009,177.7106949,-28.0900794,4.3466,m,9
6042,177.7121589,-28.0887395,4.3334,m,9
899,177.7073387,-28.092297,0.389,m,3
932,177.7073853,-28.0917439,0.3846,m,3
1015,177.7087063,-28.0906813,0.3757,m,3
6014,177.706618,-28.0894278,1.1693,m,9
1123,177.7090354,-28.0890438,0.744,m,2
6010,177.7090954,-28.0889016,4.3467,m,9
1135,177.7114613,-28.0882806,0.3969,m,3
1138,177.710943,-28.0888011,0.0,m,3
1180,177.7078892,-28.0878906,0.3724,m,3
1221,177.7089996,-28.0878451,0.375,m,3
1184,177.715616,-28.0882493,0.3852,m,3
1196,177.7153913,-28.0881062,3.3416,m,9
1202,177.7154026,-28.0880295,3.3421,m,3
1211,177.7154291,-28.0879545,3.3425,m,9
1171,177.713874,-28.0884818,0.4004,m,3
1181,177.7135152,-28.0882733,0.0,m,3
1195,177.7137385,-28.0881019,0.0,m,3
1235,177.7141451,-28.0876068,0.3796,m,2
1283,177.7136778,-28.0868979,1.169,m,9
1374,177.7149112,-28.0856689,0.3769,m,2
1384,177.7149149,-28.0855166,0.3778,m,3
1091,177.7166166,-28.0862507,0.3815,m,3
1442,177.7190202,-28.0850127,2.9307,m,9
1477,177.717211,-28.0846367,0.3759,m,2
1397,177.7145694,-28.0854579,0.3524,m,3
1347,177.7109856,-28.0854159,0.3884,m,3
1585,177.7121088,-28.0829967,0.3642,m,3
1520,177.714648,-28.0842115,0.3767,m,3
1648,177.7166862,-28.0817934,0.3934,m,3
1667,177.7138889,-28.0822699,0.4034,m,3
1610,177.7150187,-28.0822959,0.3781,m,3
1624,177.7146471,-28.0815417,0.3807,m,3
1774,177.7143623,-28.0808683,0.3779,m,3
742,177.7397591,-28.0932797,0.3791,d,3
1025,177.7457249,-28.0896859,0.3863,d,3
860,177.7398334,-28.0906183,0.3858,v,3
1158,177.741606,-28.0868164,0.3919,d,3
869,177.7317488,-28.092827,0.3096,m,2
671,177.7300512,-28.0929903,0.3099,m,2
843,177.7298987,-28.0932987,0.3108,m,3
846,177.729816,-28.0927713,0.726,m,3
873,177.7300107,-28.0927395,0.7257,m,3
875,177.7302881,-28.092715,0.309,m,3
887,177.7299785,-28.0925506,0.725,m,3
1013,177.7335484,-28.0906875,3.586,m,2
1065,177.7326642,-28.0897664,0.309,m,3
997,177.7284168,-28.0908841,0.3786,m,3
1001,177.7285938,-28.0908381,1.2241,m,1
1027,177.7301154,-28.0901373,0.3095,m,3
1032,177.7299119,-28.0902674,0.3094,m,3
1037,177.7300442,-28.0902173,0.3095,m,3
948,177.7272953,-28.0916007,0.3726,m,3
1033,177.7263045,-28.0902524,0.3671,m,2
1022,177.7322963,-28.0893563,0.3349,m,3
1110,177.7322212,-28.0892088,0.335,m,3
1112,177.7322796,-28.0891867,0.3351,m,3
1121,177.7322946,-28.0890727,0.335,m,3
807,177.7334657,-28.0878063,0.3847,d,3
1303,177.7377717,-28.0843848,0.3638,d,3
1395,177.7337211,-28.0838286,0.3893,d,3
1512,177.7384333,-28.082669,0.3747,d,3
3204,177.7432984,-28.0790934,0.387,v,3
1155,177.7246278,-28.0886549,0.3798,m,3
1225,177.7233313,-28.087752,0.5573,m,3
1252,177.7242249,-28.0873373,5.3908,m,9
1227,177.7257844,-28.086893,0.387,m,3
1228,177.7255814,-28.0873984,1.1694,m,3
1168,177.7276596,-28.0862416,0.3917,m,3
1292,177.7293637,-28.0867217,0.0,m,3
1309,177.7275101,-28.0864679,0.391,m,2
1318,177.7274805,-28.0863802,0.3913,m,3
1393,177.727935,-28.0854919,0.3909,m,3
1408,177.7274486,-28.0852787,1.4225,m,9
1415,177.7273703,-28.0852177,1.4206,m,9
1418,177.7260005,-28.0851958,0.6046,m,3
1326,177.7242909,-28.0862846,1.1324,m,9
1328,177.7242362,-28.0862465,1.1324,m,9
1339,177.7241865,-28.0861,1.1324,m,9
1355,177.7244292,-28.0858204,0.386,m,2
1398,177.7244087,-28.0846789,0.4467,m,3
1409,177.724544,-28.0852673,4.1323,m,9
1410,177.7245887,-28.084941,0.4473,m,3
1414,177.7247198,-28.0852196,4.1291,m,9
1416,177.7248046,-28.0847273,4.1322,m,9
1420,177.7246445,-28.0851527,4.1296,m,9
