id, rah, decd, zspec
LAE-01, 09:10:51.899, -04:17:03.94, 6.541 
LAE-02, 09:10:39.434, -04:22:58.45, 6.563 
LAE-03, 09:10:43.771, -04:07:55.72, 6.572 
LAE-04, 09:10:42.675, -04:28:28.98, 6.589 
LAE-05, 09:11:35.005, -04:17:44.02, 6.597 
LAE-06, 09:10:22.398, -04:05:22.91, 6.602 
LAE-07, 09:11:01.294, -04:15:22.55, 6.625 
LAE-08, 09:11:22.389, -03:58:09.51, 6.626 
LAE-09, 09:10:42.883, -04:17:34.68, 6.626 
LAE-10, 09:10:46.177, -04:17:47.74, 6.634 
LAE-11, 09:10:54.343, -04:14:52.80, 6.641 
LAE-12, 09:10:53.671, -04:13:22.62, 6.641 
SMG-A , 09:10:54.544, -04:13:55.52, 6.6266
SMG-B , 09:10:53.598, -04:14:09.11, 6.6272
SMG-C , 09:10:54.552, -04:14:06.99, 6.6379
