id,ra,dec,gratings
aegis-2017000479,215.196486,53.033087,f170lp-g235h f290lp-g395h clear-prism
aegis-2017000560,215.184918,53.028479,f170lp-g235h f290lp-g395h clear-prism
aegis-2017000598,215.199415,53.039874,f170lp-g235h f290lp-g395h clear-prism
aegis-2017000687,215.185707,53.032145,f170lp-g235h f290lp-g395h clear-prism
aegis-2017000760,215.183698,53.033462,f170lp-g235h f290lp-g395h clear-prism
aegis-2017000795,215.203989,53.04786,f170lp-g235h f290lp-g395h clear-prism
aegis-2017000817,215.188285,53.037574,f170lp-g235h f290lp-g395h clear-prism
aegis-2017000840,215.185741,53.037125,f170lp-g235h f290lp-g395h clear-prism
aegis-2017000853,215.194704,53.044002,f170lp-g235h f290lp-g395h clear-prism
aegis-2017000883,215.185625,53.036364,f170lp-g235h f290lp-g395h clear-prism
aegis-2017000932,215.17507,53.031496,f170lp-g235h f290lp-g395h clear-prism
aegis-2017000971,215.197714,53.046564,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001162,215.166,53.031403,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001248,215.213474,53.067963,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001266,215.17635,53.04239,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001277,215.16387,53.032792,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001286,215.179447,53.045226,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001325,215.167995,53.037894,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001355,215.16713,53.038612,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001371,215.182515,53.049929,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001373,215.217095,53.07433,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001397,215.202359,53.064577,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001403,215.199043,53.06156,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001431,215.217016,53.074942,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001508,215.162324,53.038063,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001509,215.219086,53.076464,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001510,215.165553,53.041281,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001557,215.163287,53.040794,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001572,215.170903,53.045454,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001611,215.175579,53.050398,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001646,215.197954,53.066851,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001662,215.164009,53.04392,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001732,215.171343,53.050381,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001767,215.201875,53.072554,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001794,215.169036,53.049578,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001892,215.170379,53.053902,f170lp-g235h f290lp-g395h clear-prism
aegis-2017001931,215.186883,53.06652,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002023,215.183182,53.065881,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002091,215.18968,53.070888,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002126,215.201992,53.081093,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002234,215.187808,53.074017,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002252,215.193532,53.078487,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002327,215.177997,53.069277,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002353,215.180597,53.071915,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002425,215.18326,53.073538,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002427,215.176808,53.070946,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002430,215.188043,53.076852,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002448,215.181183,53.07452,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002457,215.175245,53.070377,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002509,215.130108,53.038751,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002584,215.180878,53.077435,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002618,215.172802,53.072372,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002660,215.186302,53.081253,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002674,215.129751,53.04238,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002690,215.183944,53.081114,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002706,215.130467,53.04326,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002750,215.179929,53.079052,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002771,215.129544,53.044762,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002819,215.184796,53.085118,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002871,215.119969,53.039953,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002894,215.127396,53.046771,f170lp-g235h f290lp-g395h clear-prism
aegis-2017002974,215.126746,53.048365,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003005,215.11919,53.042788,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003055,215.134786,53.055916,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003129,215.124883,53.050498,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003141,215.133624,53.057663,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003184,215.117664,53.046397,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003234,215.127348,53.056219,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003248,215.111619,53.045007,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003304,215.129674,53.059852,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003354,215.12899,53.060584,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003421,215.102888,53.044316,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003456,215.108281,53.049239,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003494,215.139172,53.072569,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003752,215.137026,53.079987,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003821,215.135147,53.077081,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003837,215.131378,53.078577,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003839,215.136444,53.082194,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003845,215.128552,53.076922,f170lp-g235h f290lp-g395h
aegis-2017003892,215.141425,53.08796,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003921,215.141269,53.088813,f170lp-g235h f290lp-g395h clear-prism
aegis-2017003938,215.134769,53.085067,f170lp-g235h f290lp-g395h clear-prism
aegis-2017004017,215.13103,53.084663,f170lp-g235h f290lp-g395h clear-prism
aegis-2017004022,215.13243,53.086561,f170lp-g235h f290lp-g395h clear-prism
aegis-2017004056,215.117655,53.076636,f170lp-g235h f290lp-g395h clear-prism
aegis-2017004175,215.126072,53.08714,f170lp-g235h f290lp-g395h clear-prism
aegis-2017004179,215.122214,53.083411,f170lp-g235h f290lp-g395h clear-prism
aegis-2017004362,215.122673,53.089975,f170lp-g235h f290lp-g395h clear-prism
aegis-2017004369,215.132927,53.096295,f170lp-g235h f290lp-g395h clear-prism
aegis-2017004404,215.13043,53.0937,f170lp-g235h f290lp-g395h clear-prism
aegis-2017004681,215.190411,53.030027,f170lp-g235h f290lp-g395h clear-prism
aegis-2017004806,215.18789,53.040889,f170lp-g235h f290lp-g395h clear-prism
aegis-2017004859,215.208047,53.05911,f170lp-g235h f290lp-g395h clear-prism
aegis-2017004909,215.20401,53.061977,f170lp-g235h f290lp-g395h clear-prism
aegis-2017004944,215.161138,53.03504,f170lp-g235h f290lp-g395h
aegis-2017004946,215.205797,53.066546,f170lp-g235h f290lp-g395h clear-prism
aegis-2017004968,215.172018,53.044636,f170lp-g235h f290lp-g395h clear-prism
aegis-2017004975,215.161208,53.037513,f170lp-g235h f290lp-g395h clear-prism
aegis-2017004993,215.173306,53.047562,f170lp-g235h f290lp-g395h clear-prism
aegis-2017004999,215.164887,53.041964,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005047,215.191894,53.065017,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005135,215.206528,53.082245,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005173,215.189391,53.07425,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005194,215.173556,53.065204,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005250,215.130473,53.03949,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005261,215.190054,53.081942,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005315,215.177159,53.077511,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005393,215.178519,53.085572,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005519,215.116785,53.056322,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005560,215.110136,53.056734,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005565,215.108424,53.056249,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005605,215.134426,53.079008,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005620,215.12846,53.075863,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005637,215.139672,53.08581,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005709,215.132242,53.089124,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005743,215.135627,53.095259,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005766,215.127159,53.092581,f170lp-g235h f290lp-g395h clear-prism
aegis-2017005963,215.200008,53.040601,f170lp-g235h f290lp-g395h clear-prism
aegis-2017006007,215.183701,53.034363,f170lp-g235h f290lp-g395h clear-prism
aegis-2017006046,215.193005,53.045425,f170lp-g235h f290lp-g395h clear-prism
aegis-2017006097,215.169329,53.034104,f170lp-g235h f290lp-g395h clear-prism
aegis-2017006211,215.160324,53.036793,f170lp-g235h f290lp-g395h clear-prism
aegis-2017006241,215.202511,53.067833,f170lp-g235h f290lp-g395h clear-prism
aegis-2017006677,215.130442,53.050565,f170lp-g235h f290lp-g395h clear-prism
aegis-2017006681,215.182577,53.086434,f170lp-g235h f290lp-g395h clear-prism
aegis-2017006812,215.114777,53.04961,f170lp-g235h f290lp-g395h clear-prism
aegis-2017006936,215.109146,53.055557,f170lp-g235h f290lp-g395h clear-prism
aegis-2017007560,215.181885,53.079644,f170lp-g235h f290lp-g395h clear-prism
aegis-2017007694,215.188874,53.027036,f170lp-g235h f290lp-g395h clear-prism
aegis-2017007757,215.19397,53.045854,f170lp-g235h f290lp-g395h clear-prism
aegis-2017007954,215.216431,53.073358,f170lp-g235h f290lp-g395h clear-prism
aegis-2017008260,215.116272,53.063497,f170lp-g235h f290lp-g395h clear-prism
aegis-2017008276,215.118332,53.060983,f170lp-g235h f290lp-g395h clear-prism
aegis-2017008299,215.128861,53.05515,f170lp-g235h f290lp-g395h clear-prism
aegis-2017008352,215.111908,53.059785,f170lp-g235h f290lp-g395h clear-prism
aegis-2017008368,215.109726,53.060781,f170lp-g235h f290lp-g395h clear-prism
aegis-2017008473,215.112137,53.05156,f170lp-g235h f290lp-g395h clear-prism
aegis-2017008587,215.12732,53.073472,f170lp-g235h f290lp-g395h clear-prism
aegis-2017008949,215.19788,53.0424,f170lp-g235h f290lp-g395h clear-prism
aegis-2017008950,215.138647,53.089878,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000601,215.116344,52.955651,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000680,215.108941,52.953701,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000729,215.112458,52.95862,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000800,215.120664,52.963351,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000828,215.109566,52.959934,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000856,215.116845,52.965719,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000868,215.118883,52.967332,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000975,215.10768,52.962495,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000982,215.113284,52.967289,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000983,215.105941,52.961501,f170lp-g235h f290lp-g395h clear-prism
aegis-2018000992,215.121984,52.972968,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001021,215.106585,52.963401,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001025,215.11487,52.968704,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001077,215.116762,52.972493,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001134,215.095653,52.959289,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001187,215.115838,52.975701,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001225,215.092284,52.957711,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001228,215.092915,52.960688,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001274,215.108664,52.973279,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001283,215.091642,52.958705,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001284,215.132075,52.989392,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001286,215.10025,52.967273,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001309,215.128585,52.987973,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001327,215.086038,52.958168,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001399,215.12707,52.989636,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001489,215.130627,52.99292,f170lp-g235h f290lp-g395h clear-prism
aegis-2018001540,215.121738,52.988367,f170lp-g235h f290lp-g395h clear-prism
