ra,dec,beta_UV,beta_UV_err,beta_opt,beta_opt_err,mag444,m_uv,M_UV,id,zphot,zspec
214.805768,52.878048,-2.23,0.18,1.2,0.09,26.14,27.56,-19.57,CEERS-260,7.93,-1.0
214.757973,52.839706,-1.68,0.18,0.33,0.09,25.69,27.33,-19.7,CEERS-941,7.42,-1.0
214.912514,52.949437,-1.87,0.47,0.3,0.2,26.86,28.57,-18.11,CEERS-965,5.95,-1.0
214.817697,52.877855,-2.48,0.1,0.04,0.06,25.54,26.33,-20.21,CEERS-1669,5.47,-1.0
214.998408,53.004619,-2.05,0.25,2.31,0.05,24.83,27.8,-19.02,CEERS-1914,6.49,-1.0
215.002842,53.007588,-1.48,0.27,0.86,0.11,26.36,28.18,-18.86,CEERS-1954,7.48,-1.0
214.956832,52.973153,-1.61,0.26,0.97,0.1,25.8,28.02,-18.64,CEERS-2285,5.86,-1.0
214.844768,52.892101,-1.75,0.12,2.18,0.2,25.54,26.88,-20.39,CEERS-2520,-1.0,8.69
214.925762,52.945661,-1.63,0.62,1.2,0.09,25.99,29.23,-17.24,CEERS-3153,5.23,-1.0
214.78037,52.834802,-1.93,1.34,0.24,0.16,26.72,29.3,-17.01,CEERS-4363,4.75,-1.0
214.927243,52.933893,-1.83,0.13,1.13,0.04,24.71,27.07,-19.6,CEERS-5208,5.92,-1.0
214.972445,52.962196,-1.24,0.62,0.51,0.09,26.12,29.45,-16.98,CEERS-5760,-1.0,5.08
214.923377,52.925588,-1.99,0.18,0.82,0.04,25.02,27.47,-19.02,CEERS-6126,-1.0,5.29
214.806665,52.837807,-2.1,0.11,1.14,0.06,25.33,27.16,-19.64,CEERS-6850,6.4,-1.0
214.84004,52.860645,-1.49,0.25,0.69,0.07,25.44,27.8,-18.49,CEERS-7000,4.69,-1.0
215.008492,52.977973,-2.24,0.23,1.15,0.08,25.28,27.33,-19.47,CEERS-7342,6.4,-1.0
214.876145,52.880825,-1.46,0.15,2.76,0.13,25.81,27.75,-19.46,CEERS-7872,-1.0,8.36
