id    , ra      , dec      , zphot, zspec
8810  , 53.05199, -27.89676, 6.08, -1.
42312 , 53.03911, -27.86860, 5.63, -1.
57559 , 53.11022, -27.85913, 6.13, -1.
128502, 53.19546, -27.77683, 5.77, -1.
147016, 53.17817, -27.75437, 6.06, -1.
166576, 53.04712, -27.88186, 5.58, -1.
168352, 53.07772, -27.87958, 5.45, -1.
200687, 53.13262, -27.80595, 5.35, -1.
200992, 53.16401, -27.80504, 5.83, -1.
208681, 53.13047, -27.77825, 5.86, -1.
211492, 53.18694, -27.76988, 6.05, -1.
296750, 53.08069, -27.83523, 5.50, -1.
110996, 53.15508, -27.80178, 7.29, 7.29
114769, 53.18632, -27.79561, 7.27, -1.
138085, 53.19208, -27.76662, 7.10, 7.10
209176, 53.17867, -27.77633, 7.25, -1.
