id,ra,dec,z_excels_v1,zflag_excels_v1,zspec
34495,34.289463368,-5.2698104129,3.797,4,3.797
35221,34.301028703,-5.2686608159,1.742,4,1.742
37445,34.27829472,-5.2643462617,2.447,4,2.447
39063,34.290443178,-5.2620814345,3.703,4,3.703
39138,34.276844182,-5.2596792161,1.737,4,1.737
39245,34.297769769,-5.262313369,3.797,9,3.797
39283,34.280108963,-5.2621352272,3.863,9,3.863
40081,34.365920689,-5.2607928714,3.955,4,3.955
40217,34.280515743,-5.2605277728,3.179,3,3.179
40471,34.269202773,-5.2602406091,3.802,2,3.802
41292,34.299872893,-5.2588199736,3.699,4,3.699
41351,34.302398317,-5.258063201,0.922,4,0.922
41534,34.362537343,-5.2583017933,2.295,4,2.295
42268,34.297510587,-5.2571689519,4.123,4,4.123
42387,34.247373908,-5.2509579875,1.522,4,1.522
43403,34.359771064,-5.2547947764,2.871,4,2.871
43944,34.359040571,-5.2526164652,2.298,4,2.298
43985,34.265165755,-5.2540817527,5.318,4,5.318
44421,34.302336224,-5.2532788402,1.382,4,1.382
45052,34.367129246,-5.2520186064,4.234,4,4.234
45177,34.363195468,-5.2522805688,2.901,4,2.901
45393,34.353809277,-5.2516588668,4.236,4,4.236
45793,34.284335807,-5.251024716,1.002,3,1.002
45980,34.263406544,-5.2510169195,3.448,4,3.448
45981,34.364641004,-5.2502406941,3.083,4,3.083
46105,34.272717134,-5.2495410992,1.281,4,1.281
46162,34.288628348,-5.2502736265,3.23,4,3.23
46195,34.260441722,-5.2506044113,3.231,4,3.231
46681,34.354122401,-5.2499643581,3.956,9,3.956
46711,34.260708391,-5.249801566,3.191,4,3.191
47143,34.262248112,-5.2489333861,3.233,4,3.233
47169,34.267906432,-5.2488837444,3.232,4,3.232
47557,34.262106929,-5.2481140818,3.234,4,3.234
47699,34.294785122,-5.2471420706,0.697,4,0.697
47714,34.296688884,-5.2479170288,3.719,4,3.719
47719,34.363947025,-5.2474125382,2.606,4,2.606
47747,34.274290138,-5.2467900634,1.74,4,1.74
47875,34.246395568,-5.2475852914,3.797,4,3.797
48047,34.377579424,-5.2474251018,3.238,4,3.238
48473,34.369170022,-5.2469535936,5.34,4,5.34
48659,34.251473906,-5.246528717,6.796,4,6.796
49428,34.340559426,-5.244882011,2.479,4,2.479
49865,34.342725377,-5.2441584573,3.978,4,3.978
49997,34.330915671,-5.2445989689,4.238,9,4.238
50051,34.270873981,-5.2444178775,1.428,4,1.428
50559,34.341836714,-5.2435003857,3.812,4,3.812
50789,34.340363357,-5.2412749558,3.99,4,3.99
51029,34.371567349,-5.2423917626,3.082,4,3.082
51109,34.329064958,-5.2423531569,3.207,4,3.207
51321,34.274354226,-5.2411269064,3.379,4,3.379
51506,34.370426094,-5.241120369,1.826,4,1.826
51825,34.360274604,-5.2406282548,3.809,4,3.809
52422,34.250294188,-5.2405601431,4.025,4,4.025
52467,34.344085398,-5.2394735924,3.238,4,3.238
52706,34.332923616,-5.2402385492,3.239,9,3.239
52712,34.376154884,-5.2400518972,3.238,4,3.238
52809,34.362912897,-5.2398974909,3.201,4,3.201
52850,34.37105538,-5.2395034275,1.678,4,1.678
53890,34.37114126,-5.2379671372,6.014,4,6.014
54030,34.36086825,-5.2370141422,2.16,4,2.16
54282,34.256660458,-5.237330077,3.82,4,3.82
54689,34.342298207,-5.2366646584,3.541,4,3.541
54781,34.305924993,-5.2366634497,6.808,4,6.808
54835,34.343056838,-5.2358749398,2.479,4,2.479
55233,34.321472791,-5.2355158366,6.164,4,6.164
55410,34.255875436,-5.2338250614,3.195,4,3.195
55414,34.301910473,-5.230147207,1.471,4,1.471
56133,34.302281463,-5.2339388662,3.722,4,3.722
56354,34.298659139,-5.2337706656,1.719,4,1.719
56875,34.338839332,-5.2329700072,4.0,4,4.0
57000,34.258890262,-5.2322931882,3.193,4,3.193
57094,34.346303263,-5.2328056285,4.558,9,4.558
57498,34.341680168,-5.2321883535,3.696,4,3.696
57558,34.337151556,-5.2315020598,1.614,4,1.614
57605,34.338986861,-5.2319824263,4.001,4,4.001
57646,34.349269094,-5.231925128,3.205,4,3.205
58103,34.348213757,-5.2307797359,3.985,4,3.985
58228,34.359282769,-5.2305396531,3.922,9,3.922
58772,34.304576462,-5.2301336219,6.109,4,6.109
58885,34.385820622,-5.2294150035,3.207,4,3.207
59009,34.314534096,-5.2295707633,4.133,4,4.133
59087,34.304354194,-5.2258310879,1.415,4,1.415
59288,34.296272199,-5.2291091504,4.068,9,4.068
