id,ra,dec,zphot
1491,149.844066,2.128659,6.08
3962,149.786648,2.180064,7.03
4056,149.864138,2.153000,6.20
8203,149.827121,2.223838,5.31
9430,149.805808,2.244039,7.80
9680,149.826836,2.239004,5.79
10023,149.798120,2.252581,6.02
10511,149.823224,2.248228,5.45
11737,149.860838,2.246972,7.54
13618,149.828958,2.280861,6.18
14599,149.849424,2.282508,5.65
15495,149.913310,2.267821,5.54
15654,149.913697,2.269113,5.57
15961,149.815999,2.307282,6.41
16108,149.820874,2.307250,5.56
16692,149.769491,2.138971,6.45
17632,149.769649,2.148894,6.91
18065,149.771247,2.152026,5.16
19068,149.782015,2.156768,6.70
26156,149.886985,2.183430,6.96
27062,149.823694,2.214677,5.73
27100,149.809333,2.220339,6.70
29753,149.831213,2.236208,6.77
36933,149.830359,2.286942,7.19
37490,149.878839,2.273470,6.43
39192,149.805915,2.313111,6.44
42832,149.961584,2.095546,7.93
42963,150.005153,2.080818,8.13
44171,149.907356,2.127403,6.94
46758,149.978684,2.126284,5.24
47467,149.924568,2.152193,5.36
47745,149.994156,2.129705,5.77
48256,150.016231,2.126175,5.66
48826,149.921340,2.165682,5.63
54535,149.995351,2.193401,7.71
59162,149.959489,2.247457,5.85
67603,149.939652,2.117815,7.11
73111,149.972046,2.142272,5.82
74963,149.986371,2.150497,5.01
79051,150.011265,2.167907,6.90
80251,149.909221,2.211261,5.91
84781,149.983658,2.210136,5.85
86112,149.997895,2.215061,6.71
88514,149.946024,2.252164,6.01
88886,150.016318,2.229445,5.82
89195,150.002251,2.236992,5.86
94709,150.043908,2.080002,4.89
95213,150.122056,2.056187,6.41
95709,150.087070,2.074259,6.10
97561,150.082242,2.093878,7.40
97998,150.154790,2.071994,7.14
100568,150.107738,2.117151,5.38
100652,150.153560,2.101795,4.53
105567,150.160916,2.159249,6.97
105829,150.054244,2.201158,5.81
111533,150.058115,2.055288,6.92
113118,150.097359,2.049771,6.03
116024,150.053265,2.083589,5.12
126749,150.058270,2.161335,5.72
127506,150.059978,2.165471,7.00
131408,150.075254,2.191802,5.46
133801,150.063155,2.218329,6.11
134415,150.218729,1.973960,6.11
135925,150.240885,1.981666,6.78
136513,150.197793,2.003162,6.93
136637,150.182660,2.009834,5.81
140233,150.286131,2.007007,6.18
143244,150.226041,2.053439,5.52
145575,150.275292,2.058084,5.95
148366,150.306481,2.070197,6.02
148367,150.305498,2.070560,5.99
149167,150.267381,2.091625,5.46
150510,150.209535,2.125595,6.73
151142,150.203583,2.134146,5.49
152580,150.210683,2.146055,5.49
152986,150.197768,2.154298,5.25
162573,150.234361,2.017012,5.81
168121,150.268736,2.044021,7.08
174206,150.245053,2.093959,7.19
174298,150.241058,2.095997,7.91
175445,150.265924,2.092906,6.47
175809,150.200555,2.118416,4.96
177123,150.244156,2.109579,6.27
187996,150.358001,1.965177,4.84
190822,150.308632,2.014585,5.49
191103,150.319628,2.013705,5.37
191809,150.390586,1.995667,6.19
192996,150.334320,2.032419,5.14
193571,150.326830,2.042758,5.46
193920,150.398003,2.021375,7.20
194756,150.399923,2.029822,6.92
199794,150.344032,2.108349,5.84
202071,150.361482,1.932988,6.71
206377,150.319051,1.979148,7.33
207835,150.363213,1.975537,6.63
212759,150.410688,2.009484,6.45
213842,150.370965,2.034103,6.61
214461,150.313724,2.060217,6.25
222264,150.420893,2.086087,7.14
225244,149.790877,1.942020,7.33
226120,149.793051,1.949046,7.87
226526,149.757009,1.966093,6.08
229292,149.756415,1.995113,6.52
229605,149.767968,1.993743,6.79
230706,149.803379,1.990501,5.95
231551,149.798781,1.999951,6.41
232817,149.753412,2.028911,6.76
236271,149.714092,2.078887,6.38
236496,149.720163,2.078545,7.66
237017,149.833110,2.041895,6.04
