id,ra,dec,z_ALT,n_lines_detected,zspec
7765,3.5751059,-30.4409116,6.674253,1,
7903,3.5749447,-30.440569,4.983277,1,
8039,3.5748564,-30.4405245,4.984958,1,
8951,3.5723095,-30.4379779,0.955558,1,
9793,3.5743225,-30.4376564,0.498303,1,
9862,3.5852716,-30.4358825,4.757918,1,
10244,3.5704164,-30.4341138,0.422011,1,
10253,3.5803595,-30.4342306,4.618613,1,
10308,3.5668605,-30.4340438,5.799008,1,
10458,3.5679352,-30.4342936,2.296393,1,
10657,3.572524,-30.4347846,0.847091,1,
10680,3.5859472,-30.4335197,2.584566,2,2.584566
10845,3.583837,-30.4335903,2.983044,1,
10938,3.5861607,-30.4337142,2.581016,2,2.581016
11015,3.5678862,-30.4342263,2.290924,1,
11132,3.5719235,-30.4320964,5.803907,1,
11183,3.5943734,-30.4322701,4.909503,1,
11198,3.5748855,-30.4319783,4.57517,1,
11290,3.5669239,-30.4318822,3.89163,1,
11345,3.5700701,-30.4320887,4.782431,1,
11443,3.5790026,-30.4314968,4.795902,2,4.795902
11516,3.5936654,-30.4314919,4.909425,1,
11691,3.5698412,-30.4312206,4.912982,1,
11736,3.5897635,-30.4316312,2.580259,1,
11741,3.5718802,-30.4313673,2.654416,2,2.654416
11746,3.5702493,-30.4308829,4.794459,1,
11877,3.567938,-30.4303229,4.794999,1,
11932,3.5763135,-30.4307253,2.652457,3,2.652457
11940,3.6000199,-30.4310595,4.978655,1,
12071,3.5898374,-30.4303657,6.295095,1,
12195,3.5721714,-30.429825,2.605998,2,2.605998
12225,3.5867667,-30.4295998,6.131894,1,
12386,3.5679964,-30.4292777,4.478421,1,
12403,3.5696685,-30.4292814,4.260599,1,
12580,3.5675217,-30.4287366,5.761153,1,
12591,3.5711434,-30.428821,0.968791,1,
12607,3.5814233,-30.4293397,1.755782,1,
12832,3.5675276,-30.4292166,2.426387,3,2.426387
12854,3.5810676,-30.4282907,4.575706,1,
12877,3.5860639,-30.4280565,6.11978,1,
12999,3.5675599,-30.4281951,2.580062,3,2.580062
13015,3.5704536,-30.4277294,6.29202,1,
13044,3.5630908,-30.4279063,4.912048,1,
13070,3.5889836,-30.4279189,0.891887,1,
13209,3.5883221,-30.4273323,4.71901,1,
13360,3.581117,-30.4269672,4.338902,1,
13422,3.5765646,-30.4270052,2.510003,2,2.510003
13452,3.5913996,-30.4267512,4.45778,1,
13486,3.5632889,-30.4264816,6.22705,1,
13597,3.5889466,-30.4287029,0.956133,2,0.956133
13634,3.5677178,-30.4262096,4.910958,1,
13648,3.5655594,-30.4260822,4.905456,1,
13747,3.5906958,-30.4262411,4.704617,1,
13784,3.5678299,-30.4262397,4.91392,2,4.91392
13797,3.5899568,-30.4258258,4.696002,1,
13801,3.5656508,-30.4261385,4.913974,1,
13809,3.5900337,-30.4259506,4.717777,1,
13810,3.5694755,-30.4270059,2.58092,1,
13823,3.5902049,-30.4259746,4.7148,1,
13835,3.5894525,-30.4261929,6.12382,1,
13852,3.578528,-30.4265321,1.015828,1,
13952,3.5899004,-30.4258791,4.703245,1,
13959,3.5901444,-30.4258924,4.706581,1,
14026,3.571573,-30.4255215,4.011886,1,
14043,3.5757081,-30.4265653,2.587736,1,
14113,3.5863726,-30.4251501,2.985803,1,
14118,3.5713243,-30.4251676,4.015474,1,
14122,3.5860841,-30.425063,2.98021,2,2.98021
14265,3.5669387,-30.4253065,1.977776,2,1.977776
14307,3.5648882,-30.4249558,5.330369,1,
14324,3.5808287,-30.4252623,4.703731,1,
14339,3.5954604,-30.4247001,6.289939,3,6.289939
14384,3.5754821,-30.4243625,4.015211,3,4.015211
14413,3.5861529,-30.4249774,2.974766,1,
14415,3.5862164,-30.4250936,2.987263,2,2.987263
14457,3.5920722,-30.4254352,0.95547,1,
14468,3.5863706,-30.4250522,2.98557,2,2.98557
14492,3.5801447,-30.4243598,4.012434,1,
14566,3.5802942,-30.4244082,4.013404,1,
14799,3.575472,-30.4244719,4.021018,1,
14837,3.5704892,-30.4236306,2.022995,1,
14856,3.5799187,-30.4236157,4.010483,1,
14889,3.5820103,-30.4238305,1.678168,1,
14891,3.5864538,-30.4234413,5.75862,1,
14973,3.5822524,-30.4235806,1.676337,1,
15021,3.5710576,-30.4234313,4.053062,1,
15022,3.5753919,-30.4236372,2.58897,4,2.58897
15032,3.5755757,-30.4243866,4.014528,2,4.014528
15088,3.5902477,-30.4230698,5.756719,1,
15135,3.5708296,-30.4230638,4.041323,1,
15156,3.5860421,-30.4228953,4.307017,2,4.307017
15194,3.6019991,-30.422764,5.013185,1,
15244,3.5678608,-30.4251176,0.92893,1,
15294,3.5945933,-30.4224921,6.835327,1,
15318,3.5642118,-30.4226906,1.043003,1,
15355,3.5771455,-30.4225458,4.58294,1,
15383,3.559698,-30.4220378,1.633823,1,
15443,3.6021811,-30.4225033,1.039226,1,
15469,3.5824205,-30.4237715,1.684525,1,
