id, cat_id, zphot, zspec, ra, dec
JADES-GN+189.1797+62.2246,1001093,-1.0,5.595,189.1797,62.2246
JADES-GN+189.0915+62.2281,1001830,-1.0,6.675,189.0915,62.2281
JADES-GN+189.1096+62.2285,1001895,7.52,-1.0,189.1096,62.2285
JADES-GN+189.1277+62.2326,1002836,7.10,-1.0,189.1277,62.2326
JADES-GN+189.0963+62.2391,1004685,-1.0,7.414,189.0963,62.2391
JADES-GN+189.1517+62.2594,1010767,6.20,-1.0,189.1517,62.2594
JADES-GN+189.1520+62.2596,1010816,-1.0,6.759,189.1520,62.2596
JADES-GN+189.2038+62.2684,1013041,-1.0,7.089,189.2038,62.2684
JADES-GN+189.0571+62.2689,1013188,7.32,-1.0,189.0571,62.2689
JADES-GN+189.0385+62.2693,1013282,7.12,-1.0,189.0385,62.2693
JADES-GN+189.0659+62.2733,1014361,4.32,-1.0,189.0659,62.2733
JADES-GN+189.0721+62.2734,1014406,5.19,-1.0,189.0721,62.2734
JADES-GN+189.0506+62.2794,1016275,7.97,-1.0,189.0506,62.2794
JADES-GN+189.0577+62.2836,1017514,5.02,-1.0,189.0577,62.2836
JADES-GN+189.0612+62.2841,1017694,7.34,-1.0,189.0612,62.2841
JADES-GN+188.9878+62.2911,1020140,4.66,-1.0,188.9878,62.2911
JADES-GN+189.1131+62.2924,1020485,5.26,-1.0,189.1131,62.2924
JADES-GN+189.1590+62.2602,1029154,5.62,-1.0,189.1590,62.2602
JADES-GN+189.0409+62.2693,1030265,5.42,-1.0,189.0409,62.2693
JADES-GN+189.1798+62.2824,1032447,-1.0,7.086,189.1798,62.2824
JADES-GN+189.0870+62.2908,1033797,5.22,-1.0,189.0870,62.2908
JADES-GN+189.1983+62.2970,1034762,-1.0,7.043,189.1983,62.2970
JADES-GN+189.2586+62.1432,1037138,7.51,-1.0,189.2586,62.1432
JADES-GN+189.2395+62.1444,1037341,5.68,-1.0,189.2395,62.1444
JADES-GN+189.2346+62.1475,1037974,7.46,-1.0,189.2346,62.1475
JADES-GN+189.2707+62.1484,1038147,5.82,-1.0,189.2707,62.1484
JADES-GN+189.2062+62.1505,1038673,6.43,-1.0,189.2062,62.1505
JADES-GN+189.2631+62.1512,1038849,3.91,-1.0,189.2631,62.1512
JADES-GN+189.2940+62.1531,1039353,5.29,-1.0,189.2940,62.1531
JADES-GN+189.2436+62.1549,1039805,5.26,-1.0,189.2436,62.1549
JADES-GN+189.2024+62.1627,1042541,5.41,-1.0,189.2024,62.1627
JADES-GN+189.3216+62.1627,1042550,7.45,-1.0,189.3216,62.1627
JADES-GN+189.2735+62.1665,1043804,5.84,-1.0,189.2735,62.1665
JADES-GN+189.3395+62.1848,1050323,6.89,-1.0,189.3395,62.1848
JADES-GN+189.1748+62.1901,1052210,6.01,-1.0,189.1748,62.1901
JADES-GN+189.1493+62.2075,1058594,3.64,-1.0,189.1493,62.2075
JADES-GN+189.1680+62.2170,1061888,-1.0,5.874,189.1680,62.2170
JADES-GN+189.2248+62.2258,1064405,5.20,-1.0,189.2248,62.2258
JADES-GN+189.2613+62.2320,1065744,5.56,-1.0,189.2613,62.2320
JADES-GN+189.2292+62.1462,1068797,5.06,-1.0,189.2292,62.1462
JADES-GN+189.2141+62.1490,1069100,5.44,-1.0,189.2141,62.1490
JADES-GN+189.2793+62.1501,1069299,5.47,-1.0,189.2793,62.1501
JADES-GN+189.2358+62.1681,1072112,5.43,-1.0,189.2358,62.1681
JADES-GN+189.1974+62.1772,1073488,-1.0,4.132,189.1974,62.1772
JADES-GN+189.3075+62.1780,1073625,6.23,-1.0,189.3075,62.1780
JADES-GN+189.1786+62.1872,1075363,5.44,-1.0,189.1786,62.1872
JADES-GN+189.1493+62.2083,1079572,-1.0,3.966,189.1493,62.2083
JADES-GN+189.2816+62.2161,1081040,4.85,-1.0,189.2816,62.2161
JADES-GN+189.2854+62.2235,1081928,6.27,-1.0,189.2854,62.2235
JADES-GN+189.0962+62.2392,1113205,7.40,-1.0,189.0962,62.2392
JADES-GN+189.2143+62.1491,1119051,5.44,-1.0,189.2143,62.1491
JADES-GN+189.1364+62.2226,1177425,7.03,-1.0,189.1364,62.2226
JADES-GS+53.0763-27.9099,2532,6.98,-1.0,53.0763,-27.9099
JADES-GS+53.1191-27.8926,11786,7.34,-1.0,53.1191,-27.8926
JADES-GS+53.1072-27.8906,13418,6.50,-1.0,53.1072,-27.8906
JADES-GS+53.1136-27.8848,19348,5.41,-1.0,53.1136,-27.8848
JADES-GS+53.0570-27.8744,35453,5.10,-1.0,53.0570,-27.8744
JADES-GS+53.0641-27.8709,39376,7.00,-1.0,53.0641,-27.8709
JADES-GS+53.0558-27.8690,41769,7.79,-1.0,53.0558,-27.8690
JADES-GS+53.1304-27.8607,54648,6.37,-1.0,53.1304,-27.8607
JADES-GS+53.1153-27.8592,57356,4.27,-1.0,53.1153,-27.8592
JADES-GS+53.1083-27.8510,70714,6.50,-1.0,53.1083,-27.8510
JADES-GS+53.0605-27.8484,73690,5.40,-1.0,53.0605,-27.8484
JADES-GS+53.1476-27.8420,79803,5.41,-1.0,53.1476,-27.8420
JADES-GS+53.1127-27.8383,82737,5.21,-1.0,53.1127,-27.8383
JADES-GS+53.0732-27.8331,86916,7.05,-1.0,53.0732,-27.8331
