id,ra,dec,zspec
rubies-egs61-v4-69475,214.949188,52.964137,5.6204
ceers-ddt-v4-1768,214.925759,52.945659,5.0884
rubies-egs61-v4-61496,214.97244,52.962191,5.0837
capers-egs53-v4-7761,214.840034,52.860648,3.8592
capers-egs49-v4-8752,214.876137,52.880826,8.3575
rubies-egs61-v4-55604,214.98303,52.956002,6.9886
capers-egs47-v4-9244,214.985675,52.95623,5.2002
capers-egs53-v4-10108,214.797532,52.818752,6.6231
rubies-egs62-v4-50812,214.84549,52.848281,3.5259
capers-egs53-v4-11320,214.82345,52.830278,5.2369
capers-egs49-v4-11585,214.892249,52.877403,6.6958
capers-egs61-v4-12630,214.869654,52.855608,5.106
egs-nelsonx-v4-51623,214.886799,52.855377,4.9589
rubies-egs53-v4-42046,214.795369,52.788845,5.2845
egs-nelsonx-v4-47962,214.892482,52.856886,6.7286
capers-egs65-v4-19799,214.924146,52.849047,4.2236
ceers-v4-80372,214.927815,52.849999,7.4824
capers-egs61-v4-20952,214.880185,52.812566,5.2832
rubies-egs51-v4-927271,215.078256,52.948498,6.7886
rubies-egs51-v4-926125,215.137075,52.988556,5.2879
capers-egs65-v4-24425,214.987487,52.873114,5.2325
capers-egs55-v4-24745,214.814779,52.74895,3.6865
rubies-egs52-v4-919107,215.037199,52.906715,7.198
rubies-egs51-v4-4126,215.129876,52.949948,7.4392
capers-egs65-v4-36064,214.975841,52.841949,8.8925
rubies-uds21-v4-182791,34.21384,-5.087001,4.7174
rubies-uds21-v4-174752,34.205831,-5.100451,6.0457
rubies-uds23-v4-172350,34.368949,-5.103948,5.5865
rubies-uds23-v4-167741,34.334615,-5.110275,4.1157
rubies-uds31-v4-154183,34.410735,-5.129675,3.6048
mom-uds01-v4-149501,34.386699,-5.136117,3.966
capers-udsp2-v4-10997,34.424297,-5.136507,5.1537
rubies-uds23-v3-147411,34.36071,-5.139081,3.9638
rubies-uds23-v4-144195,34.325143,-5.143672,3.3548
capers-udsp2-v4-15322,34.41984,-5.154228,3.7019
gto-wide-uds11-v4-3284,34.483585,-5.168945,3.4724
rubies-uds22-v4-119957,34.268895,-5.176678,4.1516
gto-wide-uds13-v4-4273,34.363493,-5.17695,4.0539
capers-udsp1-v4-23419,34.471107,-5.190455,5.516
capers-udsp1-v4-24309,34.515779,-5.195181,3.7009
gto-wide-uds14-v4-4446,34.270695,-5.217642,4.6835
rubies-uds3-v4-47509,34.264581,-5.232549,5.672
rubies-uds1-v4-40579,34.24419,-5.245833,3.1136
gto-wide-uds12-v4-1259,34.422285,-5.250725,5.9679
rubies-uds33-v4-842741,34.504932,-5.257991,6.9629
rubies-uds1-v4-31747,34.223748,-5.260211,4.1294
rubies-uds42-v4-23438,34.338245,-5.280884,3.686
rubies-uds42-v4-16053,34.36709,-5.293532,3.9578
rubies-uds42-v4-10036,34.381664,-5.303754,3.808
rubies-uds42-v4-19521,34.383658,-5.287738,5.6716
rubies-uds42-v4-33451,34.352435,-5.264601,7.1123
rubies-uds2-v4-59492,34.277587,-5.210143,6.1099
rubies-uds32-v4-966096,34.466744,-5.100901,6.1657
rubies-uds21-v4-967770,34.228539,-5.101479,6.591
mom-uds01-v4-150135,34.397467,-5.135125,7.9132
rubies-uds22-v4-934230,34.305813,-5.136454,7.2385
mom-uds01-v4-930419,34.363761,-5.140787,8.2842
mom-uds02-v4-136569,34.228875,-5.154019,6.6317
jades-gds02-v4-13418,53.107225,-27.890604,6.1715
jades-gds02-v4-38562,53.135864,-27.871645,4.8218
jades-gds03-v4-20062600,53.120212,-27.856334,7.6508
gds-barrufet-s67-v4-4490,53.041051,-27.854478,3.7058
jades-gds04-v4-20066293,53.046013,-27.853993,8.0692
gds-barrufet-s67-v4-4820,53.034903,-27.852188,3.7994
jades-gds03-v4-73690,53.060546,-27.848403,5.5017
gds-egami-ddt-v4-89635,53.128053,-27.829166,5.9431
jades-gds-wide2-v4-9698,53.140779,-27.802179,5.9177
jades-gds06-v4-159717,53.097426,-27.901289,5.0744
jades-gds03-v4-177323,53.06029,-27.863536,7.8964
gds-deep-v4-13704,53.126538,-27.81809,5.924
jades-gds05-v4-204851,53.138594,-27.790253,5.4855
jades-gds-wide-v4-13329,53.139035,-27.784441,3.935
jades-gds08-v4-30148179,53.142078,-27.779851,5.9221
jades-gds07-v4-210600,53.166114,-27.772039,6.3113
jades-gds-wide-v4-12402,53.132664,-27.765487,3.1927
capers-cos19-v4-2783,150.15804,2.484196,3.7151
capers-cos19-v4-4771,150.161029,2.465804,5.9274
capers-cos19-v4-9226,150.175938,2.43243,3.7241
cosmos-transients-v4-66964,150.12582,2.389714,7.029
capers-cos16-v4-18263,150.175833,2.37873,4.3837
cosmos-transients-v4-61234,150.106898,2.360046,7.0034
cosmos-transients-v4-58018,150.144439,2.344395,3.9263
capers-cos10-v4-30440,150.12091,2.317934,3.5045
capers-cos10-v4-32659,150.124025,2.306827,4.4422
capers-cos07-v4-35805,150.055361,2.291588,6.5284
capers-cos07-v4-43390,150.070915,2.251688,7.1236
capers-cos07-v4-43711,150.102626,2.249597,4.4204
capers-cos01-v4-55600,150.132298,2.169688,5.5948
capers-cos10-v4-119334,150.136253,2.30803,9.2675
capers-cos19-v4-168193,150.160277,2.464053,8.851
uncover-v4-45924,3.584757,-30.343625,4.5195
uncover-v4-41225,3.533994,-30.353307,6.7725
uncover-v4-38108,3.530005,-30.358017,4.9685
uncover-61-v4-27114,3.545783,-30.395726,5.1957
uncover-61-v4-24968,3.620612,-30.399949,6.3468
uncover-v4-13123,3.579833,-30.401568,7.037
uncover-61-v4-21547,3.550837,-30.406602,5.0579
uncover-v4-4286,3.619197,-30.423267,5.8352
abell2744-castellano1-v4-23628,3.451975,-30.326586,7.4318
uncover-v4-49702,3.5477,-30.3337,4.8667
uncover-v4-28876,3.56959,-30.373221,7.0362
uncover-61-v4-10065,3.592416,-30.432824,6.7467
jades-gdn11-v4-1093,189.179742,62.224628,5.5975
jades-gdn2-v4-38509,189.091472,62.228109,6.6805
jades-gdn2-v4-954,189.151966,62.259638,6.765
jades-gdn11-v4-13041,189.203772,62.268424,7.0902
jades-gdn11-v4-20621,189.122513,62.292852,4.6832
jades-gdn10-v4-27830,189.254465,62.249256,3.9213
jades-gdn2-v4-28074,189.064582,62.273823,2.2735
jades-gdn-v4-38147,189.270675,62.148418,5.8713
jades-gdn198-v4-39353,189.293951,62.153092,4.852
jades-gdn198-v4-47468,189.197977,62.177018,7.1391
jades-gdn198-v4-53501,189.295058,62.193569,3.4361
jades-gdn198-v4-53757,189.269777,62.19421,4.4503
jades-gdn10-v4-61888,189.168016,62.217013,5.8782
jades-gdn198-v4-68797,189.229166,62.146184,5.041
jades-gdn09-v4-73488,189.197395,62.177234,4.1309
jades-gdn09-v4-77652,189.293228,62.199003,5.2322
