id, zphot, Muv, rah, decd
38681 ,  8.57, -19.42, 07:23:28.10, -73:26:20.14 
39556 ,  8.86, -19.23, 07:23:26.71, -73:26:10.60 
2873  ,  8.96, -18.84, 14:19:21.56,  52:48:20.80 
9544  ,  9.06, -18.99, 07:22:38.63, -73:28:46.56 
111451,  9.06, -18.94, 14:19:50.60,  52:58:48.63 
28093 ,  9.16, -18.88, 07:23:37.89, -73:27:21.91 
26225 ,  9.16, -18.71, 14:19:11.03,  52:50:22.43 
106309,  9.16, -18.77, 14:19:52.00,  52:58:05.84 
108408,  9.26, -19.12, 14:19:46.67,  52:58:21.47 
110933,  9.26, -18.74, 14:20:00.35,  52:58:44.22 
34086 ,  9.36, -20.38, 07:23:26.24, -73:26:57.00 
38697 ,  9.36, -19.55, 07:23:27.84, -73:26:19.89 
12682 ,  9.47, -18.99, 07:22:38.95, -73:28:30.38 
22480 ,  9.47, -18.58, 07:22:45.81, -73:27:46.61 
78693 ,  9.57, -18.52, 14:19:39.37,  52:54:49.52 
12218 ,  9.68, -19.49, 07:22:35.06, -73:28:32.97 
15019 ,  9.68, -19.31, 07:22:58.27, -73:28:19.55 
3763  ,  9.78, -19.15, 07:22:49.14, -73:29:31.18 
6200  ,  9.78, -18.68, 07:22:41.51, -73:29:10.63 
45704 , 10.00, -18.62, 14:19:28.72,  52:51:36.86 
73150 , 10.11, -18.96, 14:19:26.78,  52:54:16.58 
6647  , 10.22, -18.87, 14:19:14.66,  52:48:49.74 
107364, 10.22, -19.07, 14:19:49.57,  52:58:13.33 
3710  , 10.34, -19.16, 14:19:24.03,  52:48:28.96 
1698  , 10.56, -20.58, 00:14:02.86, -30:22:18.61 
30585 , 10.56, -19.84, 14:19:35.33,  52:50:37.86
61486 , 10.56, -19.61, 14:19:23.73,  52:53:00.96 
120880, 10.56, -19.41, 14:20:10.56,  52:59:39.43 
20311 , 10.80, -19.28, 14:18:59.92,  52:49:56.38 
30498 , 10.91, -19.56, 14:19:28.71,  52:50:37.14 
78598 , 11.03, -19.51, 14:19:30.19,  52:54:48.78 
77241 , 11.15, -19.62, 14:19:41.46,  52:54:41.46 
127682, 11.52, -19.31, 14:19:59.25,  53:00:21.35 
35470 , 12.03, -19.18, 07:23:02.97, -73:26:47.53 
21901 , 12.16, -19.01, 07:22:46.76, -73:27:49.44 
17487 , 12.42, -20.91, 00:13:59.75, -30:19:29.10 
6486  , 12.56, -18.61, 07:22:53.25, -73:29:08.80 
40079 , 14.28, -19.62, 07:23:13.90, -73:26:05.08 
93316 , 16.74, -21.76, 14:19:39.48,  52:56:34.92
